t,captures_total,captures_in,captures_out,M_total,M_in,M_out,G_total,G_in,G_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
1896,11,2,9,0,0,0,11,2,9,0.01698153258331564,0.018931135336346716,-0.0019496027530310767,0.0160901045856798,0.01857056815900421,-0.002480463573324411,0.15011037527593818,26.946557758644033,0.006261932034866387
1897,13,3,10,0,0,0,13,3,10,0.016970725498515058,0.018921073611480203,-0.0019503481129651452,0.0160901045856798,0.018564977420973402,-0.002474872835293601,0.15011037527593818,26.945428641093716,0.006798334484511932
1898,16,3,13,0,0,0,16,3,13,0.016959932160271356,0.018908009347779902,-0.0019480771875085463,0.01608363490148773,0.018561252132035716,-0.002477617230547985,0.15011037527593818,26.945200898192162,0.007328058141436601
1899,13,3,10,0,0,0,13,3,10,0.016949152542372878,0.01889797218388364,-0.0019488196415107621,0.016064257028112445,0.01855939004815409,-0.0024951330200416455,0.15011037527593818,26.945860532710473,0.007851036396098326
1900,11,0,11,0,0,0,11,0,11,0.016949152542372878,0.018886943604435248,-0.0019377910620623703,0.016077170418006426,0.018564977420973402,-0.0024878070029669755,0.15011037527593818,26.947411682693637,0.008368551080456938
1901,16,2,14,0,0,0,16,2,14,0.0169419737399407,0.01887292583364258,-0.0019309520937018793,0.01607071112896745,0.018555667001003005,-0.0024849558720355554,0.15011037527593818,26.9498295343078,0.008877530243148506
1902,11,2,9,1,0,1,10,2,8,0.016934801016088057,0.018916913946587538,-0.0019821129304994807,0.01607071112896745,0.018557528337847323,-0.002486817208879874,0.15011037527593818,26.953072897249978,0.009376070633105337
1903,13,5,8,1,0,1,12,5,7,0.01691689574962994,0.01896186440677966,-0.0020449686571497212,0.01564380264741275,0.01865971107544141,-0.003015908428028659,0.15011037527593818,26.95715087877765,0.009868447760379088
1904,10,3,7,0,0,0,10,3,7,0.016906170752324597,0.0189548366601366,-0.0020486659078120042,0.01564380264741275,0.018581759742868617,-0.002937957095455867,0.15011037527593818,26.962043832376892,0.010351626235643724
1905,17,4,13,0,0,0,17,4,13,0.01689189189189189,0.01894179894179894,-0.002049907049907051,0.01563753007217321,0.018574297188755015,-0.0029367671165818066,0.15011037527593818,26.967764596897606,0.01082824630453214
1906,9,2,7,0,0,0,9,2,7,0.016884761502743772,0.01893478605807373,-0.0020500245553299566,0.01563753007217321,0.018578027716408915,-0.0029404976442357067,0.15011037527593818,26.974297064188967,0.0112952685406263
1907,13,3,10,0,0,0,13,3,10,0.016874077198903183,0.018924776655917956,-0.002050699457014773,0.015631262525050094,0.018579893542231593,-0.0029486310171814994,0.15011037527593818,26.98160090457134,0.011750097050711375
1908,13,2,11,1,1,0,12,1,11,0.017077798861480073,0.018913778529163143,-0.00183597966768307,0.01603849238171611,0.018587360594795536,-0.002548868213079425,0.15011037527593818,26.9896657669135,0.012195160992669048
1909,9,3,6,1,0,1,8,3,5,0.017067003792667505,0.018960599978873983,-0.0018935961862064782,0.016032064128256508,0.018693467336683412,-0.002661403208426904,0.15011037527593818,26.998490464609215,0.012630971644947234
1910,12,2,10,0,0,0,12,2,10,0.017059814658803702,0.018950591216216218,-0.0018907765574125157,0.016051364365971103,0.01869910525786669,-0.0026477408918955878,0.15011037527593818,27.008017152404435,0.013051954232218822
1911,17,3,14,0,0,0,17,3,14,0.01704904230688276,0.018936596687414285,-0.001887554380531526,0.01603849238171611,0.018693467336683412,-0.0026549749549673006,0.15011037527593818,27.01824761879668,0.01346330772667159
1912,13,2,11,1,0,1,12,2,10,0.017041868293709232,0.018978333069745373,-0.0019364647760361405,0.016044925792218206,0.018685955394816153,-0.002641029602597947,0.15011037527593818,27.02914255244273,0.013860915520648632
1913,12,0,12,1,0,1,11,0,11,0.017041868293709232,0.01901901901901902,-0.0019771507253097884,0.01605780810919309,0.01878830503365819,-0.0027304969244651006,0.15011037527593818,27.040697984574113,0.014247746228986316
1914,14,2,12,0,0,0,14,2,12,0.01703470031545741,0.019007002579897857,-0.0019723022644404474,0.016051364365971103,0.018782643631980712,-0.00273127926600961,0.15011037527593818,27.052887690874492,0.014621446338873799
1915,20,3,17,0,0,0,20,3,17,0.017023959646910464,0.01899000526038927,-0.0019660456134788055,0.016044925792218206,0.018669075579644683,-0.0026241497874264774,0.15011037527593818,27.06566402829803,0.014979748449311565
1916,13,5,8,0,0,0,13,5,8,0.017006088599622084,0.018982017036491744,-0.0019759284368696603,0.01602564102564102,0.01868032539921663,-0.002654684373575609,0.15011037527593818,27.079045506227477,0.015328502521882767
1917,13,3,10,1,1,0,12,2,10,0.017205203524968522,0.018972041202438512,-0.00176683767746999,0.016413130504403517,0.018678449487848962,-0.0022653189834454454,0.15011037527593818,27.09298226489581,0.015661116038449885
1918,9,0,9,0,0,0,9,0,9,0.017205203524968522,0.018963071912591268,-0.0017578683876227456,0.016419703644373243,0.018670949608512344,-0.002251245964139101,0.15011037527593818,27.107458383786632,0.015980476711626203
1919,16,4,12,0,0,0,16,4,12,0.017190775681341714,0.018951126043361858,-0.0017603503620201438,0.016406562625050015,0.018665328650275963,-0.0022587660252259487,0.15011037527593818,27.1224622183484,0.01628673784794062
1920,13,2,11,1,0,1,12,2,10,0.017183570829840733,0.018992654774396642,-0.0018090839445559087,0.016393442622950814,0.01876191431724691,-0.0023684716942960968,0.15011037527593818,27.137951508225022,0.016576833073361313
