t,rfront,global_diff
79,0.0,2.4414062499977417e-10
80,0.0,2.44140624999779e-10
81,0.0,2.4414062499977184e-10
82,0.0,2.441406249998022e-10
83,0.0,2.441406249998123e-10
84,0.0,2.4414062499987245e-10
85,0.0,2.4414062499986573e-10
86,0.0,2.441406249998356e-10
87,0.0,2.441406249998273e-10
88,0.0,2.441406249997764e-10
89,0.0,2.441406249997525e-10
90,0.0,2.4414062499977624e-10
91,0.0,2.4414062499979123e-10
92,0.0,2.4414062499980245e-10
93,0.0,2.4414062499980503e-10
94,0.0,2.441406249998374e-10
95,0.0,2.4414062499990264e-10
96,0.0,2.4414062499984774e-10
97,0.0,2.4414062499988615e-10
98,0.0,2.441406249998847e-10
99,0.0,2.4414062499991913e-10
100,0.0,2.44140624999908e-10
101,0.0,2.441406249998875e-10
102,0.0,2.441406249999015e-10
103,0.0,2.4414062499989887e-10
104,0.0,2.441406249999142e-10
105,0.0,2.44140624999898e-10
106,0.0,2.441406249999126e-10
107,0.0,2.441406249998908e-10
108,0.0,2.441406249998818e-10
109,0.0,2.4414062499986826e-10
110,0.0,2.44140624999829e-10
111,0.0,2.4414062499984034e-10
112,0.0,2.4414062499983455e-10
113,0.0,2.441406249998763e-10
114,0.0,2.4414062499994307e-10
115,0.0,2.4414062499992404e-10
116,0.0,2.441406249999057e-10
117,0.0,2.441406249999153e-10
118,0.0,2.4414062499993935e-10
119,0.0,2.441406249999235e-10
120,0.0,2.4414062499986206e-10
121,0.0,2.441406249999032e-10
122,0.0,2.441406249999108e-10
123,0.0,2.4414062499988413e-10
124,0.0,2.441406249999006e-10
125,0.0,2.441406249998917e-10
126,0.0,2.441406249998629e-10
127,0.0,2.441406249998823e-10
128,0.0,2.441406249998724e-10
129,0.0,2.441406249998933e-10
130,0.0,2.4414062499990316e-10
131,0.0,2.44140624999826e-10
132,0.0,2.441406249998034e-10
133,0.0,2.441406249997944e-10
134,0.0,2.441406249997883e-10
135,0.0,2.441406249998043e-10
136,0.0,2.4414062499978384e-10
137,0.0,2.441406249997981e-10
138,0.0,2.441406249998192e-10
139,0.0,2.4414062499976455e-10
140,0.0,2.4414062499972433e-10
141,0.0,2.4414062499976264e-10
142,0.0,2.4414062499976714e-10
143,0.0,2.441406249997677e-10
144,0.0,2.4414062499977313e-10
145,0.0,2.4414062499980596e-10
146,0.0,2.441406249998316e-10
147,0.0,2.4414062499983083e-10
148,0.0,2.4414062499986144e-10
149,0.0,2.4414062499982116e-10
150,0.0,2.441406249997977e-10
151,0.0,2.4414062499981356e-10
152,0.0,2.4414062499982716e-10
153,0.0,2.4414062499980886e-10
154,0.0,2.4414062499979345e-10
155,0.0,2.44140624999779e-10
156,0.0,2.4414062499976833e-10
157,0.0,2.44140624999756e-10
158,0.0,2.441406249997324e-10
159,0.0,2.441406249997159e-10
160,0.0,2.441406249997688e-10
161,0.0,2.441406249997877e-10
162,0.0,2.4414062499974956e-10
163,0.0,2.4414062499974837e-10
164,0.0,2.441406249997427e-10
165,0.0,2.4414062499975675e-10
166,0.0,2.441406249997651e-10
167,0.0,2.4414062499972805e-10
168,0.0,2.441406249997186e-10
169,0.0,2.4414062499966126e-10
170,0.0,2.441406249996055e-10
171,0.0,2.4414062499965573e-10
172,0.0,2.441406249996839e-10
173,0.0,2.441406249996631e-10
174,0.0,2.441406249997001e-10
175,0.0,2.441406249997069e-10
176,0.0,2.441406249997215e-10
177,0.0,2.441406249996948e-10
178,0.0,2.4414062499961664e-10
179,0.0,2.441406249996643e-10
180,0.0,2.4414062499964895e-10
181,0.0,2.4414062499966664e-10
182,0.0,2.4414062499968075e-10
183,0.0,2.4414062499960124e-10
184,0.0,2.4414062499963463e-10
185,0.0,2.441406249996195e-10
186,0.0,2.441406249996541e-10
187,0.0,2.4414062499966617e-10
188,0.0,2.441406249996898e-10
189,0.0,2.4414062499967056e-10
190,0.0,2.441406249996355e-10
191,0.0,2.4414062499971203e-10
192,0.0,2.441406249996695e-10
193,0.0,2.4414062499964384e-10
194,0.0,2.441406249996299e-10
195,0.0,2.441406249996421e-10
196,0.0,2.4414062499959793e-10
197,0.0,2.4414062499960465e-10
198,0.0,2.441406249996208e-10
199,0.0,2.4414062499966405e-10
200,0.0,2.441406249997273e-10
201,0.0,2.441406249997119e-10
202,0.0,2.4414062499972066e-10
203,0.0,2.4414062499976915e-10
204,0.0,2.4414062499976817e-10
205,0.0,2.44140624999761e-10
206,0.0,2.4414062499976145e-10
207,0.0,2.4414062499970195e-10
208,0.0,2.4414062499971306e-10
209,0.0,2.441406249997009e-10
210,0.0,2.441406249997156e-10
211,0.0,2.4414062499969466e-10
212,0.0,2.4414062499969905e-10
213,0.0,2.441406249997235e-10
214,0.0,2.44140624999692e-10
215,0.0,2.4414062499979774e-10
216,0.0,2.4414062499973777e-10
217,0.0,2.441406249996937e-10
218,0.0,2.441406249996719e-10
219,0.0,2.4414062499970805e-10
220,0.0,2.4414062499970577e-10
221,0.0,2.441406249997198e-10
222,0.0,2.441406249997002e-10
223,0.0,2.441406249997132e-10
224,0.0,2.441406249997193e-10
225,0.0,2.4414062499969843e-10
226,0.0,2.4414062499967527e-10
227,0.0,2.441406249996855e-10
228,0.0,2.441406249997094e-10
229,0.0,2.4414062499970556e-10
230,0.0,2.4414062499967946e-10
231,0.0,2.4414062499967413e-10
232,0.0,2.441406249996962e-10
