t,S_2_6,S_2_3,S_2_4,S_2_5
0.7800000000,0.4295724889,0.1330966178,0.1855968207,0.3024416871
0.7850000000,0.4149258966,0.1362379172,0.1833048169,0.3035242299
0.7900000000,0.4004236779,0.1394182065,0.1810802154,0.3045317684
0.7950000000,0.3860918655,0.1426300838,0.1789545005,0.3054302218
0.8000000000,0.3719590015,0.1458676318,0.1769600668,0.3061899111
0.8050000000,0.3580569726,0.1491259103,0.1751297058,0.3067851409
0.8100000000,0.3444220807,0.1524006345,0.1734959960,0.3071937968
0.8150000000,0.3310963842,0.1556879683,0.1720906095,0.3073969749
0.8200000000,0.3181292682,0.1589843897,0.1709435620,0.3073786456
0.8250000000,0.3055790018,0.1622866001,0.1700824545,0.3071253564
0.8300000000,0.2935135920,0.1655914644,0.1695317718,0.3066259676
0.8350000000,0.2820095737,0.1688959692,0.1693123207,0.3058714220
0.8400000000,0.2711470364,0.1721971951,0.1694409102,0.3048545417
0.8450000000,0.2610006159,0.1754922971,0.1699303837,0.3035698507
0.8500000000,0.2516300071,0.1787784916,0.1707901407,0.3020134191
0.8550000000,0.2430761759,0.1820530479,0.1720273065,0.3001827265
0.8600000000,0.2353659458,0.1853132826,0.1736487710,0.2980765415
0.8650000000,0.2285212200,0.1885565569,0.1756643880,0.2956948163
0.8700000000,0.2225674487,0.1917802749,0.1780916555,0.2930385935
0.8750000000,0.2175389921,0.1949818839,0.1809618440,0.2901099239
0.8800000000,0.2134816893,0.1981588751,0.1843258547,0.2869117947
0.8850000000,0.2104532810,0.2013087856,0.1882535427,0.2834480667
0.8900000000,0.2085213118,0.2044292005,0.1928148552,0.2797234200
0.8950000000,0.2077569353,0.2075177558,0.1980398727,0.2757433087
0.9000000000,0.2082228729,0.2105721412,0.2038874512,0.2715139266
0.9050000000,0.2099561936,0.2135901036,0.2102582747,0.2670421863
0.9100000000,0.2129516043,0.2165694504,0.2170361857,0.2623357283
0.9150000000,0.2171541743,0.2195080536,0.2241180402,0.2574030085
0.9200000000,0.2224663097,0.2224038529,0.2314221110,0.2522536986
0.9250000000,0.2287648537,0.2252548599,0.2388853832,0.2469012349
0.9300000000,0.2359194710,0.2280591614,0.2464584470,0.2414290948
0.9350000000,0.2438060185,0.2308149240,0.2541012001,0.2369116596
0.9400000000,0.2523135205,0.2335203971,0.2617798601,0.2324521837
0.9450000000,0.2613462774,0.2361739169,0.2694650192,0.2277949635
0.9500000000,0.2708231958,0.2387739100,0.2771304041,0.2229490292
0.9550000000,0.2806759058,0.2413188974,0.2847520849,0.2179301531
0.9600000000,0.2908465721,0.2438074972,0.2923079656,0.2127559966
0.9650000000,0.3012858346,0.2462384287,0.2997774521,0.2074455402
0.9700000000,0.3119510427,0.2486105153,0.3071412326,0.2020190219
0.9750000000,0.3228048131,0.2509226876,0.3143811299,0.1964979957
0.9800000000,0.3338138847,0.2531739866,0.3214800003,0.1909054407
0.9850000000,0.3449482239,0.2553635665,0.3284216646,0.1852658998
0.9900000000,0.3561803319,0.2574906972,0.3351908592,0.1796056411
0.9950000000,0.3674847130,0.2595547666,0.3417732014,0.1739528382
1.0000000000,0.3788374661,0.2615552836,0.3481551650,0.1683377619
1.0050000000,0.3902159739,0.2634918792,0.3543240623,0.1627929744
1.0100000000,0.4015986655,0.2653643091,0.3602680306,0.1573535118
1.0150000000,0.4129648358,0.2671724548,0.3659760230,0.1520570313
1.0200000000,0.4242945089,0.2689163256,0.3714378002,0.1469438918
1.0250000000,0.4355683351,0.2705960587,0.3766439250,0.1420571241
1.0300000000,0.4467675130,0.2722119210,0.3815857570,0.1374422332
1.0350000000,0.4578737321,0.2737643092,0.3862554480,0.1331467653
1.0400000000,0.4688691306,0.2752537501,0.3906459382,0.1292195663
1.0450000000,0.4797362644,0.2766809005,0.3947509518,0.1257096638
1.0500000000,0.4904580863,0.2780465470,0.3985649922,0.1226647320
1.0550000000,0.5010179317,0.2793516052,0.4020833378,0.1201291520
1.0600000000,0.5113995106,0.2805971185,0.4053020364,0.1181417593
1.0650000000,0.5215869034,0.2817842574,0.4082178991,0.1167334743
1.0700000000,0.5315645609,0.2829143169,0.4108284940,0.1159251023
1.0750000000,0.5413173069,0.2839887154,0.4131321390,0.1157256457
1.0800000000,0.5508303434,0.2850089915,0.4151278933,0.1161314326
1.0850000000,0.5600892573,0.2859768018,0.4168155492,0.1171262388
1.0900000000,0.5690800290,0.2868939176,0.4181956220,0.1186823803
1.0950000000,0.5777890421,0.2877622218,0.4192693399,0.1207625686
1.1000000000,0.5862030941,0.2885837045,0.4200386328,0.1233222083
1.1050000000,0.5943094081,0.2893604599,0.4205061206,0.1263118029
1.1100000000,0.6020956449,0.2900946809,0.4206751012,0.1296792036
1.1150000000,0.6095499156,0.2907886550,0.4205495371,0.1333715282
1.1200000000,0.6166607951,0.2914447594,0.4201340423,0.1373366783
1.1250000000,0.6234173348,0.2920654552,0.4194338690,0.1415244488
1.1300000000,0.6298090768,0.2926532825,0.4184548934,0.1458872730
