t,S_0_4,S_1_5,S_2_6,S_3_7
1.5750000000,0.4255681470,0.2274610140,0.1530840809,0.4275647954
1.6000000000,0.4328729523,0.2545067818,0.1586854133,0.4298423747
1.6250000000,0.4367147344,0.2829709902,0.1638645473,0.4286104825
1.6500000000,0.4373222524,0.3100676662,0.1667563804,0.4247041006
1.6750000000,0.4350212163,0.3341900176,0.1672642575,0.4200723392
1.7000000000,0.4302186784,0.3542327058,0.1664386065,0.4159265333
1.7250000000,0.4233896593,0.3692842174,0.1658700120,0.4120140102
1.7500000000,0.4150655280,0.3786043055,0.1670402936,0.4086388997
1.7750000000,0.4058221697,0.3816997558,0.1707277089,0.4064333773
1.8000000000,0.3962650179,0.3784481514,0.1767163363,0.4060887715
1.8250000000,0.3870079744,0.3692658020,0.1839521884,0.4082269541
1.8500000000,0.3786441384,0.3553434360,0.1910866930,0.4131745128
1.8750000000,0.3717082386,0.3389695009,0.1982391065,0.4206681020
1.9000000000,0.3666339945,0.3236445177,0.2049008588,0.4298281546
1.9250000000,0.3637141688,0.3127400012,0.2087388364,0.4394762270
1.9500000000,0.3630753363,0.3076015418,0.2093409040,0.4484665697
1.9750000000,0.3646810060,0.3087684272,0.2068713488,0.4558553142
2.0000000000,0.3683737717,0.3170098053,0.2018339180,0.4609520419
