seed,label,spatial_dim,energy_gamma,energy_total,death_rate,memory_total,bandwidth,birth_attempts,frontier_bias,step_frac_min,step_frac_max,no_signaling,spatial_exclusion,exclusion_radius,nsteps,max_subsystems,siteN_final,totalN_final,R_final,fit_type,alpha,power_r2,frontier_speed,frontier_r2,valid_alpha,invalid_reason
20,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,761.0,2281.0,702.7701644469039,power_law,0.5267174737850684,0.9992739178126332,0.7298096481795576,0.987509436994407,1,
21,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,766.0,2296.0,706.3022991100892,power_law,0.5604318866173679,0.9990565103151755,0.7569482689952391,0.9913177360836272,1,
22,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,763.0,2287.0,704.7192286701464,power_law,0.5573643690974736,0.998846343866588,0.7552450429474844,0.9913569857021779,1,
23,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,765.0,2293.0,705.250071639477,power_law,0.5078116009076384,0.9991972334419251,0.711056249600357,0.9829742580460228,1,
24,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,731.0,2191.0,673.2002169240452,power_law,0.5119409323172144,0.9990849637715242,0.6743767472734673,0.9847997231935962,1,
25,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,749.0,2245.0,693.0939156168313,power_law,0.5295715218986089,0.9989164952968019,0.7130419292987668,0.9922027495927731,1,
26,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,776.0,2326.0,714.4031145863497,power_law,0.5307037202088252,0.9991785333379064,0.7446708695750024,0.9887010629968944,1,
27,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,755.0,2263.0,698.1152238005245,power_law,0.5511581689425162,0.9981929387342227,0.7411309908274942,0.9953543380487527,1,
28,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,765.0,2293.0,705.84278378894,power_law,0.5680759125339078,0.9986374560884361,0.769080664341901,0.9841464403315199,1,
29,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,739.0,2215.0,681.6745901114333,power_law,0.530822995361098,0.99878897524844,0.7118438210266395,0.9929830379508676,1,
