step,mean_node_activity,max_node_activity,mean_link_energy,max_link_energy,mean_link_rank,max_link_rank,largest_cluster,n_clusters,mean_active_shortest_path,hot_nodes,persistent_nodes,edge_energy_threshold
425,0.9192507378334066,0.997933767625723,0.7681187368496003,0.8914687277864969,2.24609375,4,21,16,2.7872340425531914,26,26,0.8123213153677763
450,0.9270095279723467,0.9983785929007825,0.7861320655668477,0.8934693034419696,2.23828125,4,23,15,2.760869565217391,25,25,0.8258445988583084
475,0.9340281562534215,0.9986481554595255,0.802157133541106,0.9035556468943157,2.20703125,4,22,15,2.8085106382978724,26,25,0.8417287196941409
500,0.9395645507727814,0.9990215380030091,0.8154924320936197,0.9226311047820075,2.16015625,4,42,11,6.304347826086956,26,25,0.8521870968113782
525,0.9453547943164449,0.9992475408172738,0.8295157613094337,0.9263911441364101,2.15234375,4,29,12,4.154761904761905,24,25,0.8638072799535228
550,0.9503177430831553,0.9994769390370595,0.8421488816223863,0.9332202903816162,2.15625,4,28,13,3.5737704918032787,26,26,0.8750394715530635
575,0.9547373426846971,0.999613683333972,0.8541526345884631,0.9353401590373193,2.171875,4,23,15,3.5901639344262297,25,25,0.8849367788987688
600,0.9594583894820254,0.9997203848777021,0.8660606163134158,0.9394891776368401,2.19921875,4,33,15,4.08641975308642,25,25,0.8959315364133439
625,0.9631636525194822,0.9997849697105774,0.87651281669339,0.9479217191414075,2.19140625,4,27,17,4.185714285714286,26,26,0.9045004339781606
650,0.9662457744416149,0.9998278185058986,0.8852949962519064,0.9504805491350998,2.17578125,4,21,17,3.627906976744186,26,26,0.9109883756056452
675,0.9690903454564305,0.9998675885760201,0.8934582996886864,0.9504805491350998,2.171875,4,15,18,1.6470588235294117,26,25,0.9179937457265885
700,0.9719942963412724,0.9999041609131429,0.9015944385052583,0.9565767465283402,2.07421875,4,19,18,3.9655172413793105,25,26,0.9236326954289549
725,0.9743983230860209,0.9999320192496414,0.9090940585370089,0.9642226381756517,2.08984375,4,18,16,3.6206896551724137,26,25,0.9307420534670845
750,0.9766131053452674,0.9999497915182105,0.9154273222466118,0.967661798553049,2.08984375,4,16,17,2.590909090909091,26,26,0.9358803542082409
775,0.9786532051050535,0.9999621607823057,0.921700772014098,0.967661798553049,2.08203125,4,18,19,3.1153846153846154,26,26,0.9416512076071455
800,0.9804354942333545,0.9999671508089615,0.9272392100445734,0.9681356758507533,2.09375,3,15,21,1.84,26,26,0.9460201957977211
825,0.9819906668560286,0.999971482778513,0.9329199779757615,0.9712276270645894,2.078125,3,13,24,1.75,26,26,0.949856965847605
850,0.9833077569972364,0.9999789380613164,0.937927302790367,0.9753076889148105,2.09375,4,28,19,4.450980392156863,26,26,0.9552383858310074
875,0.9846959429957441,0.9999850603084538,0.9424315320683734,0.977699020341938,2.1171875,4,25,18,4.4772727272727275,26,26,0.9579455804107484
900,0.9857898412937423,0.9999877931842943,0.9464824951075974,0.9805340637578387,2.13671875,3,27,18,4.802816901408451,25,25,0.9620868407940922
925,0.9868668250918866,0.9999900261428282,0.9505047080514479,0.9814885199529899,2.09765625,3,17,18,3.608695652173913,26,26,0.9654555937370576
950,0.987773154605983,0.9999921733474773,0.9540104104796807,0.9820636159717175,2.12109375,3,18,20,3.4722222222222223,26,26,0.9681462110764641
975,0.9887346970041863,0.9999941015063977,0.9575112558264381,0.9837917608713368,2.125,3,15,18,2.9444444444444446,26,26,0.9706765161110343
1000,0.9895397363739005,0.9999953713534254,0.9604742886906245,0.9852953929599699,2.10546875,3,16,21,2.5625,26,26,0.9729483411388807
1025,0.9903078565044203,0.9999960621186498,0.9633092426318681,0.9873317085022935,2.15625,3,21,20,3.8,26,26,0.9752923084875075
1050,0.9911793255291396,0.9999972067750456,0.9662508238779568,0.9885086819614304,2.15234375,3,18,20,2.95,26,26,0.9770224684860017
1075,0.9918832578088295,0.9999980583306473,0.9689526599536585,0.9896056702846157,2.125,3,16,18,2.3333333333333335,26,26,0.9792992129786116
