seed,label,spatial_dim,energy_gamma,energy_total,energy_cost,bandwidth,no_signaling,spatial_exclusion,exclusion_radius,interaction_rate,spawn_rate,nsteps,max_subsystems,N_final,R_final,E_final,modifier_final,fit_type,alpha,power_r2,exp_rate,exp_r2,frontier_speed,frontier_r2,fit_t_start,fit_t_end
10,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6782.0,9.477688104335373,0.0,1.0,power_law,2.119279595795094,0.9993128225350728,0.010660875354419922,0.9355570613755111,0.024202661491265303,0.9794063427990994,57,400
11,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6502.0,8.701338338214388,0.0,1.0,power_law,2.4964967118505292,0.9857094256978195,0.01228860329020352,0.8835915714233639,0.0182436811902248,0.9614499652727483,57,400
12,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6599.0,8.826333905031678,0.0,1.0,power_law,1.959238742958215,0.9994329469711465,0.00990485993488786,0.9450074281109626,0.02010670760381231,0.9888569929587808,57,400
13,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,7119.0,8.713640655731657,0.0,1.0,power_law,1.853690866149889,0.9992109984165031,0.009337108100066754,0.9379225181652326,0.016866279430110417,0.9683945713359917,57,400
14,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,7041.0,9.391572278794358,0.0,1.0,power_law,2.1071949565821955,0.997587146758046,0.010566123198657622,0.9279666152591907,0.023607047855425684,0.9745147392590161,57,400
15,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6391.0,8.473482096632923,0.0,1.0,power_law,2.480831260714391,0.9956123721311679,0.01235158328539418,0.9130629045211975,0.021695420883804144,0.9854181647170321,57,400
16,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6641.0,8.820484284146922,0.0,1.0,power_law,2.4491918953476266,0.9911977430590837,0.012117457599280986,0.897629874249085,0.01883587874879227,0.9538181266565402,57,400
17,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,7454.0,9.618348294822578,0.0,1.0,power_law,1.907303826811031,0.9996100398036224,0.00961754803031926,0.9403275928423499,0.022519017694798884,0.9777884695699764,57,400
18,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6887.0,8.906430396192277,0.0,1.0,power_law,2.038765054314363,0.9990241523891915,0.010278539387217362,0.9394291634885006,0.021393280897601678,0.9677414516635623,57,400
19,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,5723.0,7.502755805992212,0.0,1.0,power_law,2.653986634561085,0.984698532595291,0.013048183010822292,0.8805732938316934,0.019188501959848798,0.9874344159373529,57,400
20,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6920.0,8.75689574095314,0.0,1.0,power_law,1.8874723181952815,0.999563572777194,0.009553755600150409,0.9474517372415101,0.01895163731778178,0.9831920638842927,57,400
21,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,7659.0,9.767271140200037,0.0,1.0,power_law,2.0250755345296363,0.9995000027748625,0.01020820766139587,0.9396344727470827,0.022016491267216727,0.9630121505488111,57,400
22,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,5094.0,7.409611917952338,0.0,1.0,power_law,2.6084832159687874,0.9829076356567946,0.012820917394135347,0.8784851467660084,0.01753786814864624,0.988226388553969,57,400
23,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6421.0,8.987649539902964,0.0,1.0,power_law,2.4339004066047036,0.9935756228118022,0.012071431888576489,0.9042166526171517,0.021187846757035125,0.9835442078845404,57,400
24,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6439.0,7.86943202352124,0.0,1.0,power_law,2.2971408348400093,0.9923267459063309,0.011389335161224852,0.9024762942677245,0.018722567908393748,0.9910687926025717,57,400
