t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
2073,20,6,14,1,0,1,0.01840220385674931,0.01779965915546298,0.0006025447012863276,0.019169329073482424,0.018682179214677255,0.00048714985880516856,0.15081967213114755,5.172562099803696,0.0012132158486439187
2074,22,5,17,1,0,1,0.018392070484581493,0.01781851611507679,0.0005735543695047016,0.019169329073482424,0.018744404655326768,0.00042492441815565607,0.15081967213114755,5.173023729727941,0.001169843349558946
2075,24,5,19,1,0,1,0.018381948266373137,0.017836391643920764,0.0005455566224523735,0.0189540991093857,0.018797202797202796,0.00015689631218290465,0.15081967213114755,5.173427833000383,0.0011261943289470051
2076,24,3,21,0,0,0,0.018375880281690137,0.01782627484874676,0.0005496054329433772,0.0189540991093857,0.018789844536405323,0.00016425457298037752,0.15081967213114755,5.173776082316587,0.0010819332246396049
2077,15,2,13,1,0,1,0.01837183718371837,0.017847017847017848,0.0005248193367005209,0.018958428506167194,0.01868740558384155,0.00027102292232564565,0.15081967213114755,5.174049008528088,0.00103513773062196
2078,21,2,19,1,0,1,0.018367795864496255,0.017864853195164076,0.0005029426693321792,0.018967093235831806,0.018742307261944723,0.00022478597388708374,0.15081967213114755,5.174229585546757,0.0009860690056748755
2079,20,5,15,0,0,0,0.01835770034077168,0.017857624558280057,0.0005000757824916227,0.018962759881197163,0.018745453528062225,0.0002173063531349384,0.15081967213114755,5.174332947844666,0.000937740565924722
2080,20,5,15,0,0,0,0.018347615908591516,0.017850401768861567,0.0004972141397299491,0.018962759881197163,0.018746502518186905,0.00021625736301025822,0.15081967213114755,5.17434073521061,0.0008870888182586218
2081,24,7,17,0,0,0,0.018333516302557907,0.017842223000835513,0.0004912933017223939,0.018949771689497713,0.018579663103699143,0.0003701085857985703,0.15081967213114755,5.174287224522148,0.0008390243406617313
2082,19,3,16,0,0,0,0.018327480245829673,0.01783453218028503,0.0004929480655446426,0.018949771689497713,0.018520590868397493,0.0004291808211002203,0.15081967213114755,5.174136199074096,0.0007870596837614202
2083,15,4,11,0,0,0,0.018319438350153573,0.017829248586049017,0.0004901897641045559,0.018967093235831806,0.018469804667823362,0.0004972885680084443,0.15081967213114755,5.173906692803434,0.0007363476078926109
2084,21,3,18,0,0,0,0.018313411558284896,0.01782060945407559,0.0004928021042093049,0.018975765889346134,0.018470838464121796,0.0005049274252243371,0.15081967213114755,5.1735749421888375,0.0006829653582098718
2085,25,5,20,0,0,0,0.018303375712406835,0.01781102023245803,0.0004923554799488063,0.018967093235831806,0.018468770987239758,0.0004983222485920487,0.15081967213114755,5.173134750562869,0.0006285779062319914
2086,22,4,18,1,0,1,0.018295354951796666,0.01782929059323401,0.00046606435856265394,0.018971428571428566,0.018528884908195254,0.0004425436632333121,0.15081967213114755,5.1726179421225735,0.0005767453106321443
2087,26,8,18,1,0,1,0.018279334500875655,0.017847543274916677,0.00043179122595897804,0.0189540991093857,0.018585903823545878,0.0003681952858398223,0.15081967213114755,5.171986938154837,0.0005210830926089021
2088,28,8,20,1,0,1,0.018263342082239717,0.01786481839673329,0.00039852368550642725,0.018941122774988585,0.018638755177431993,0.0003023675975565923,0.15081967213114755,5.171270950720794,0.0004678143984834065
2089,15,4,11,0,0,0,0.018255356362046345,0.01785954075466631,0.0003958156073800359,0.018730013704888072,0.018604651162790697,0.00012536254209737432,0.15081967213114755,5.170468472064055,0.00041413698363185875
2090,21,3,18,1,0,1,0.01824937165337121,0.017877754811693018,0.0003716168416781941,0.018738574040219374,0.01866173503698722,7.683900323215281e-05,0.15081967213114755,5.169573439409793,0.0003596700864428846
2091,21,5,16,1,1,0,0.018348623853211007,0.017870079690895917,0.00047854416231508934,0.018980105190944428,0.018658598083711547,0.00032150710723288095,0.15081967213114755,5.168563544244867,0.00030295046204540516
2092,23,5,18,0,0,0,0.0183386093221264,0.01786145305334299,0.0004771562687834116,0.018967093235831806,0.01865546218487395,0.0003116310509578557,0.15081967213114755,5.167472482775296,0.00024920413516824963
2093,21,3,18,0,0,0,0.018332605848974243,0.01785283474065139,0.0004797711083228545,0.018971428571428566,0.01865128262574213,0.00032014594568643626,0.15081967213114755,5.1662749116561,0.00019300760336658944
2094,17,4,13,1,0,1,0.018324607329842927,0.017873412294335173,0.00045119503550775444,0.018962759881197163,0.018709388303831502,0.000253371577365661,0.15081967213114755,5.1649791683631205,0.00013751994034822624
2095,18,4,14,0,0,0,0.018316615787178366,0.01786670952534019,0.00044990626183817606,0.018962759881197163,0.018713581353653072,0.00024917852754409095,0.15081967213114755,5.163724182617149,0.0001509589326180159
2096,23,3,20,0,0,0,0.01831062670299727,0.017857142857142856,0.00045348384585441534,0.018755718206770352,0.0186533721711853,0.00010234603558505195,0.15081967213114755,5.162560472462422,0.0002056857269160433
2097,20,5,15,1,0,1,0.01830065359477124,0.01787673615757219,0.0004239174371990506,0.018294077292476556,0.018710436390118202,-0.00041635909764164633,0.15081967213114755,5.161495116191229,0.00026100521156423024
2098,27,3,24,1,0,1,0.018294674942829138,0.01789200609772405,0.00040266884510508846,0.018323408153916625,0.01875804916288706,-0.000434641008970435,0.15081967213114755,5.160509497294355,0.00031449692922945417
2099,24,4,20,0,0,0,0.018286709480788067,0.017882440993290744,0.00040426848749732305,0.01834021091242549,0.018756998880179173,-0.00041678796775368454,0.15081967213114755,5.159614287695932,0.0003688303709738721
2100,21,2,19,0,0,0,0.01828272935031015,0.017873363612075876,0.00040936573823427413,0.01835283321862812,0.018754898667562424,-0.000402065448934303,0.15081967213114755,5.158812215033618,0.0004232290448358971
2101,21,2,19,1,0,1,0.018278750952018277,0.01789099842452402,0.00038775252749425823,0.018373909049150202,0.018809830375636792,-0.00043592132648659007,0.15081967213114755,5.15809886604792,0.00047699065131108373
2102,29,5,24,1,0,1,0.018268812527185728,0.017906225815920798,0.00036258671126493044,0.018369690011481053,0.01885736668345364,-0.00048767667197258807,0.15081967213114755,5.157459809108119,0.0005291463369676261
2103,31,6,25,0,0,0,0.01825690067376657,0.017894287695343753,0.00036261297842281673,0.018369690011481053,0.018851037646137495,-0.000481347634656442,0.15081967213114755,5.15694517507144,0.0005856326660397169
2104,15,3,12,0,0,0,0.018250950570342202,0.01788856304985337,0.00036238752048883133,0.018369690011481053,0.018859477307068107,-0.0004897872955870533,0.15081967213114755,5.1565430596464195,0.0006406674714401666
2105,14,3,11,0,0,0,0.01824500434404865,0.017883318674875404,0.00036168566917324507,0.018365472910927452,0.018862644128512258,-0.0004971712175848055,0.15081967213114755,5.156229403114919,0.0006930845263704999
2106,26,1,25,2,0,2,0.01824302312954718,0.017924679060352635,0.0003183440691945441,0.018382352941176468,0.018970341354224957,-0.0005879884130484889,0.15081967213114755,5.156008728815902,0.0007454894787731948
2107,23,4,19,0,0,0,0.018235102572451967,0.01791561293757487,0.000319489634877098,0.018382352941176468,0.01896609600537093,-0.0005837430641944634,0.15081967213114755,5.155896032882393,0.0007988128151658368
2108,16,3,13,0,0,0,0.018229166666666664,0.017909415083293415,0.0003197515833732491,0.018373909049150202,0.018969279838845055,-0.0005953707896948525,0.15081967213114755,5.15586546673125,0.0008492343125747335
2109,25,5,20,0,0,0,0.018219282073527812,0.017899888291930423,0.00031939378159738865,0.018369690011481053,0.018972464741437205,-0.0006027747299561514,0.15081967213114755,5.155935996575932,0.0009008637555066204
2110,22,4,18,0,0,0,0.018211382113821135,0.01789132284134411,0.0003200592724770246,0.01815257352941176,0.01896397404341016,-0.0008114005139983997,0.15081967213114755,5.156094668187153,0.0009507083852223706
2111,20,3,17,2,1,1,0.018313827481577803,0.01790981319586533,0.0004040142857124722,0.018378130025269925,0.019029495718363463,-0.0006513656930935384,0.15081967213114755,5.15633071837682,0.0009989329669070743
2112,19,7,12,0,0,0,0.018299945858148346,0.017904104130694647,0.0003958417274536989,0.01835283321862812,0.019036954087346025,-0.000684120868717903,0.15081967213114755,5.156641759204381,0.0010462755436220445
2113,20,6,14,0,0,0,0.018288064062330914,0.01789744815316392,0.00039061590916699557,0.018110958276020172,0.019039086123866053,-0.0009281278478458811,0.15081967213114755,5.15703273161666,0.001093378258959228
2114,22,3,19,1,0,1,0.018282128948507136,0.017914963639258985,0.00036716530924815055,0.018102658111824012,0.01908760145535964,-0.000984943343535629,0.15081967213114755,5.157505564803565,0.001139926759446026
2115,13,1,12,0,0,0,0.018280151433207135,0.017909259750596974,0.00037089168261016103,0.01812342280339527,0.019091876154750574,-0.0009684533513553036,0.15081967213114755,5.158049483589969,0.001184709751300958
2116,29,7,22,1,1,0,0.018374405533938605,0.017898812049215104,0.00047559348472350077,0.01835704451583295,0.019083328669763276,-0.0007262841539303275,0.15081967213114755,5.158682889131425,0.001230393889159357
2117,21,6,15,0,0,0,0.018362497299632748,0.017891695602618815,0.00047080169701393254,0.018365472910927452,0.019089738565750435,-0.0007242656548229823,0.15081967213114755,5.159381981874379,0.001273038918552297
2118,22,5,17,0,0,0,0.0183525855554356,0.017883637134378974,0.00046894842105662735,0.018365472910927452,0.019089738565750435,-0.0007242656548229823,0.15081967213114755,5.160155919339073,0.0013156624408204214
2119,20,5,15,0,0,0,0.018342684505826497,0.017876532747159616,0.00046615175866688077,0.01836125774615561,0.019086533079592523,-0.0007252753334369144,0.15081967213114755,5.160997981297637,0.0013567626254870984
2120,24,3,21,1,0,1,0.018336749002265125,0.017893065113816834,0.0004436838884482909,0.01835283321862812,0.019138220481253496,-0.0007853872626253748,0.15081967213114755,5.16191289029075,0.001397367398505023
2121,25,5,20,0,0,0,0.01832686502802932,0.017883597883597883,0.0004432671444314362,0.01833600733440293,0.01907905779667655,-0.0007430504622736207,0.15081967213114755,5.162895871803314,0.0014365671851533628
2122,21,2,19,0,0,0,0.018322914421211464,0.017874613289616332,0.00044830113159513227,0.01835704451583295,0.01907905779667655,-0.0007220132808436024,0.15081967213114755,5.163919899799902,0.001472271871674184
2123,20,3,17,0,0,0,0.018316991703480223,0.01786658209113014,0.00045040961235008267,0.01834441641825269,0.019082260772243984,-0.0007378443539912925,0.15081967213114755,5.165032529511295,0.00151135720908983
2124,24,5,19,0,0,0,0.01830712901141503,0.01785761458195747,0.00044951442945756134,0.01834021091242549,0.019084396686814418,-0.0007441857743889294,0.15081967213114755,5.166210201715844,0.0015472129789309453
2125,20,3,17,0,0,0,0.018301216492625682,0.017849598648077735,0.00045161784454794685,0.01836125774615561,0.019084396686814418,-0.0007231389406588094,0.15081967213114755,5.167468575490013,0.001583442612777642
2126,21,4,17,1,0,1,0.018293339072420096,0.01786798279183932,0.0004253562805807756,0.01835704451583295,0.019138220481253496,-0.0007811759654205476,0.15081967213114755,5.1687719546353375,0.001615265887005181
2127,20,3,17,0,0,0,0.01828743545611015,0.01785996939798449,0.0004274660581256619,0.01836125774615561,0.019141433928471483,-0.0007801761823158747,0.15081967213114755,5.170128956831137,0.0016467594496396903
2128,18,2,16,0,0,0,0.01828350182835018,0.017852433943357417,0.00043106788499276336,0.018365472910927452,0.019141433928471483,-0.0007759610175440308,0.15081967213114755,5.171552095998342,0.0016782606432350147
2129,30,11,19,1,0,1,0.018261897088838755,0.017869850557444455,0.00039204653139430015,0.018331805682859758,0.019198477555132654,-0.0008666718722728957,0.15081967213114755,5.173032204201766,0.001707739686459916
2130,16,7,9,1,0,1,0.018248175182481747,0.017891963109354415,0.00035621207312733216,0.018315018315018312,0.019268470285106143,-0.0009534519700878305,0.15081967213114755,5.174559009058442,0.0017350721683966038
2131,25,6,19,0,0,0,0.018236429950654363,0.017883009823803628,0.0003534201268507349,0.01830244795241363,0.019269549630293526,-0.000967101677879896,0.15081967213114755,5.176135229099111,0.001761439831226335
2132,27,9,18,0,0,0,0.01821884042439181,0.0178745360254824,0.0003443043989094091,0.01827735892163582,0.01921460982578007,-0.0009372509041442496,0.15081967213114755,5.1777619864167725,0.0017866754346159669
2133,19,7,12,1,0,1,0.018205183122724348,0.01789520776862549,0.0003099753540988584,0.01827735892163582,0.01928467316963785,-0.0010073142480020308,0.15081967213114755,5.179425506186169,0.0018093812526860074
2134,28,7,21,0,0,0,0.018191546281433917,0.01788532351394003,0.00030622276749388624,0.01826901118976935,0.01927170868347339,-0.0010026974937040398,0.15081967213114755,5.181131850990466,0.001831376142170219
2135,20,4,16,1,0,1,0.018183762969301527,0.017904090861289305,0.00027967210801222234,0.01827735892163582,0.019270629096409166,-0.000993270174773346,0.15081967213114755,5.1828932353201225,0.0018532138486669497
2136,35,10,25,1,0,1,0.01816433379634576,0.017918604345655658,0.0002457294506901034,0.01826901118976935,0.019314746388982198,-0.0010457351992128466,0.15081967213114755,5.184675234404625,0.0018705614924852511
2137,16,3,13,1,0,1,0.018158513138218327,0.01793875085360088,0.000219762284617446,0.01805301645338208,0.01937506999664016,-0.001322053543258081,0.15081967213114755,5.186476243424397,0.001886442543676471
2138,22,4,18,1,0,1,0.01815075806107196,0.017956526304735904,0.00019423175633605586,0.017832647462277088,0.019433243727598568,-0.0016005962653214793,0.15081967213114755,5.1883046856155515,0.0019017728180308327
2139,22,6,16,0,0,0,0.018139137857447713,0.017948987089325075,0.00019015076812263845,0.017828571428571426,0.01943542063403159,-0.0016068492054601632,0.15081967213114755,5.190149811162914,0.0019147659877366534
2140,23,6,17,1,0,1,0.018127532522925992,0.017967213114754098,0.00016031940817189463,0.01781635449977158,0.019493614160878334,-0.001677259661106753,0.15081967213114755,5.192019124357867,0.001927101523548359
2141,20,4,16,0,0,0,0.018119803879769768,0.01795967593927794,0.00016012794049182627,0.017820424948594923,0.01943215545724366,-0.0016117305086487364,0.15081967213114755,5.193938460017125,0.001940468034961637
2142,20,5,15,0,0,0,0.018110152338340256,0.017952615578152847,0.00015753676018740934,0.017812285910025115,0.019436509270150674,-0.0016242233601255589,0.15081967213114755,5.195878049269235,0.0019497104455379367
2143,22,4,18,1,0,1,0.018102438504951544,0.01797034630900613,0.000132092195945413,0.017824497257769648,0.01949033884066088,-0.001665841582891233,0.15081967213114755,5.197814512780404,0.0019554124510396545
2144,23,4,19,3,0,3,0.018094731240021283,0.018039954965569607,5.47762744516761e-05,0.017848970251716244,0.019603450207236472,-0.0017544799555202287,0.15081967213114755,5.199738949323451,0.00195890822344842
2145,22,4,18,0,0,0,0.018087030535163313,0.018031456910313784,5.557362484952949e-05,0.017620137299771164,0.01960125448028674,-0.0019811171805155757,0.15081967213114755,5.2016545438339135,0.0019613123723596568
2146,27,5,22,0,0,0,0.01807741386643981,0.018021081264875893,5.633260156391595e-05,0.017620137299771164,0.019597961811971557,-0.0019778245122003928,0.15081967213114755,5.203565045246261,0.001962674447173744
2147,20,5,15,1,1,0,0.018174088638537568,0.01801401380464338,0.00016007483389418944,0.01784488675360329,0.019545250896057347,-0.0017003641424540548,0.15081967213114755,5.205484875116754,0.0019639812568153768
2148,22,5,17,0,0,0,0.01816443594646271,0.018006010714752385,0.00015842523171032477,0.01784488675360329,0.019493614160878334,-0.0016487274072750427,0.15081967213114755,5.207396204456302,0.0019622469882144365
2149,29,7,22,0,0,0,0.01815093939072285,0.017995664324705514,0.0001552750660173373,0.017832647462277088,0.01948597345876029,-0.0016533259964832021,0.15081967213114755,5.209309595062605,0.0019601005248959962
2150,23,7,16,1,1,0,0.018243529910903687,0.017988147142521473,0.00025538276838221394,0.018044769301050704,0.019477248558795544,-0.0014324792577448398,0.15081967213114755,5.211202367580791,0.001954466654399189
2151,20,2,18,0,0,0,0.018239660657476137,0.017979697815819002,0.00025996284165713535,0.018044769301050704,0.019421279453741534,-0.0013765101526908297,0.15081967213114755,5.213093748871129,0.0019492279636361977
