step,mean_local_activity,max_local_activity,mean_bond_entropy,max_bond_entropy,mean_bond_rank,max_bond_rank,largest_cluster,n_clusters,mean_active_path,step_truncation_loss,total_truncation_loss,mean_bond_persistence,max_bond_persistence
140,0.9899697739568323,0.9999999999999999,4.794807971789221,5.399594066686367,40.42553191489362,48,5,5,2.4,0.08535054768868655,7.16385768568301,0.2517288865812288,0.9850275654666679
150,0.9909017609941522,1.0,4.800915769020511,5.410969574205799,40.42553191489362,48,5,5,2.4,0.08757402131742119,8.032853541680609,0.25267160285375384,0.9889589655367662
160,0.9883809583973822,1.0,4.804418687157791,5.415478628673496,40.42553191489362,48,5,5,2.4,0.08886989427827832,8.91521309536256,0.25336678457793016,0.9918580748009329
170,0.9908462839446837,1.0,4.807404293097974,5.41540773583802,40.42553191489362,48,5,5,2.4,0.0895245543560707,9.808756485019874,0.25387942835391425,0.9939959479188342
180,0.9899063631283429,1.0,4.809638968278816,5.414644578973945,40.42553191489362,48,5,5,2.4,0.0904578760003975,10.710551339843343,0.25425746424282747,0.9955724671362146
190,0.9882514297747148,0.9999999999999999,4.81137969332766,5.420137986035297,40.42553191489362,48,5,5,2.4,0.0911087794478991,11.614525174426555,0.25453623702814426,0.9967350304436243
200,0.9875220915307219,1.0,4.812966233190223,5.423272825008383,40.42553191489362,48,5,5,2.4,0.09171679131523848,12.528740541940703,0.25474181080595854,0.997592332675551
210,0.9890430063212724,1.0,4.814479959626178,5.420560243816021,40.42553191489362,48,5,5,2.4,0.09246486027243173,13.448753339323023,0.25489340586957576,0.9982245280254147
220,0.9897589167778756,1.0,4.81594320450358,5.4233385574360105,40.42553191489362,48,4,6,2.0,0.09274241590835354,14.369332420663405,0.25500519572700514,0.9986526937148029
230,0.9889018705707118,1.0,4.816144073452799,5.416353197466023,40.42553191489362,48,5,5,2.4,0.0926626276724269,15.293650099126006,0.25508763226501585,0.9990064638389785
240,0.990466016743088,1.0,4.817341115648417,5.42083674867,40.42553191489362,48,6,5,2.4,0.09211274933585598,16.21832805062223,0.25514842295708257,0.9992673424639202
250,0.9874659769174249,1.0,4.81777753037468,5.415960339798014,40.42553191489362,48,6,5,2.4,0.09213521504204236,17.140062987810417,0.2551932514801032,0.9994597206561433
260,0.9878244428467132,1.0,4.817814071124041,5.42101130376571,40.42553191489362,48,6,5,2.4,0.09262592420849476,18.062374064745836,0.25522630911455174,0.999601584976577
270,0.9862509589890482,1.0,4.817970342034071,5.42020035676355,40.42553191489362,48,6,5,2.4,0.09255477455277697,18.988469637629393,0.2552506866117721,0.9997061991492106
280,0.983361350751387,1.0,4.8187106299912,5.430291377615454,40.42553191489362,48,6,5,2.4,0.09196159542870104,19.908642212012865,0.25526866316637575,0.9997833441641254
290,0.9850986446143507,1.0,4.818881624798357,5.428721759045519,40.42553191489362,48,6,5,2.4,0.09202847509858274,20.832588145192904,0.2552819195114589,0.9998402327593935
300,0.9862400016750108,1.0,4.819240106206999,5.427499006975242,40.42553191489362,48,6,5,2.4,0.09254214438608295,21.756387430530307,0.25529169506015764,0.9998821837820893
310,0.9856756616941956,1.0,4.819859098090243,5.432015653832074,40.42553191489362,48,6,5,2.4,0.09203471263551513,22.67376746582103,0.25529890378562176,0.9999131194783731
320,0.9866864065631565,1.0,4.820816909133574,5.436117714295114,40.42553191489362,48,6,5,2.4,0.09098365512561642,23.589194366265687,0.2553042196737032,0.9999359322071953
330,0.9864213728121406,1.0,4.819188342090656,5.43789769523721,40.42553191489362,48,6,5,2.4,0.09166428605271194,24.501450168369054,0.2553081397378303,0.9999527548638291
340,0.9854246415255291,1.0,4.820437050449132,5.432508493908797,40.42553191489362,48,4,6,2.0,0.0920536535098212,25.414955802950594,0.2553110304876966,0.999965160296709
350,0.9865632931751795,1.0,4.821369565187337,5.430942038199193,40.42553191489362,48,6,5,2.4,0.0924160172244646,26.340629373503337,0.2553131621963927,0.9999743083622195
