t,mean_deg,locked_frac,S95,peaks,L_flow,P_press,g_flow,top10_flow,g_mem,top10_mem,dim_est
70,8.84375,0.0,365,0,4.517590762715194e-06,1.2376960993740258e-08,0.4296571691027928,0.02966367787162004,0.13012822423608766,0.009081667792355629,1.6234200694127259
71,8.84375,0.0,365,0,3.1749071001557556e-06,8.698375616865085e-09,0.42852122099621714,0.029636730054532087,0.13012821842044994,0.009081667745451348,1.6234200694127259
72,8.84375,0.0,365,0,2.2337275502951665e-06,6.11980150765799e-09,0.42806027045569267,0.029632268608843392,0.13012821430367774,0.009081667708396768,1.6234200694127259
73,8.78125,0.0,365,0,1.570723138254829e-06,4.30335106371186e-09,0.4286084346888659,0.031167552759639273,0.12961675414531232,0.00912761191219826,1.6234200694127259
74,8.78125,0.0,365,0,1.1038133680399411e-06,3.024146213808058e-09,0.42542047410724326,0.028356840907480713,0.12961675206426881,0.009127611889214009,1.6234200694127259
75,8.78125,0.0,365,0,7.80828951575184e-07,2.1392574015758464e-09,0.42593081841337455,0.028686923043915163,0.12961675058241848,0.009127611872091173,1.6234200694127259
76,8.78125,0.0,365,0,5.541496031579307e-07,1.5182180908436458e-09,0.42618403758032414,0.028784549113633234,0.12961674952995927,0.00912761185910989,1.6234200694127259
77,8.78125,0.0,365,0,3.9399477360571887e-07,1.079437735906079e-09,0.4261558587732822,0.028975067502417802,0.12961674877834106,0.00912761184963411,1.6234200694127259
78,8.78125,0.0,365,0,2.804368125672397e-07,7.683200344307938e-10,0.4264607675773453,0.02941421177883944,0.1296167482407682,0.009127611842745166,1.6234200694127259
79,8.708333333333334,0.0,365,0,1.9971972989063176e-07,5.471773421661144e-10,0.4304529457739876,0.03404609058455829,0.12732570424955386,0.00916825042124674,1.6234200694127259
80,8.708333333333334,0.0,365,0,0.1593370864259891,0.000436539962810929,0.9952316115828262,0.9999991230606872,0.12825545939416969,0.009334968487300258,1.4186085289942125
81,8.708333333333334,0.0,364,0,0.1486653780443589,0.00040842136825373324,0.9699918848059943,0.34266593187799166,0.12844556966579723,0.009544141974816405,1.4186085289942125
82,8.708333333333334,0.0,365,0,0.13839526583013978,0.00037916511186339663,0.860982815456665,0.1876818058457589,0.12844497783077014,0.009671971267719444,1.4186085289942125
83,8.708333333333334,0.0,365,0,0.11124875071624177,0.0003047910978527172,0.7202656815826877,0.1287298018101854,0.1283826575677217,0.009773442659829091,1.4186085289942125
84,8.708333333333334,0.0,365,0,0.08347711306491223,0.00022870441935592394,0.6590677838746293,0.10208697770657443,0.12831127812891518,0.009832792419700764,1.4186085289942125
85,8.640625,0.0,365,0,0.06133578928859313,0.0001680432583249127,0.6125393795756212,0.08618251607904767,0.12732232515468228,0.009919883878227738,1.4186085289942125
86,8.640625,0.0,365,0,0.044798102144144675,0.00012273452642231418,0.5807042610765308,0.0762759238559264,0.1272678444844589,0.009941453085448177,1.4186085289942125
87,8.640625,0.0,365,0,0.03256280880846925,8.921317481772396e-05,0.5574386928935754,0.06870939871159541,0.12722520750346905,0.00995489285002923,1.4186085289942125
88,8.640625,0.0,365,0,0.02363110083781545,6.47427420214122e-05,0.5393061887160927,0.06288363572898234,0.1271925026542016,0.009963404353412876,1.4186085289942125
89,8.640625,0.0,365,0,0.0171410176715382,4.6961692250789596e-05,0.5244789635361101,0.058121112040891404,0.12716762638655082,0.009968857833502856,1.4186085289942125
