t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
6108,20,5,15,0,0,0,0.01800498933439387,0.017447375141366604,0.0005576141930272657,0.018995633187772924,0.01687787062143766,0.002117762566335262,0.15011037527593818,6.519095926872595,0.001758064057111937,1.0
6109,23,4,19,1,0,1,0.018002385858366773,0.017453471088699015,0.0005489147696677577,0.01899978161170561,0.016927587542180673,0.0020721940695249373,0.15011037527593818,6.519995158308705,0.0017872377251239452,1.0
6110,22,7,15,0,0,0,0.017997831586555837,0.017451084082496033,0.0005467475040598045,0.018991486574983625,0.016927587542180673,0.0020638990328029523,0.15011037527593818,6.520960056645935,0.00181642993997158,1.0
6111,22,4,18,0,0,0,0.0179952301799523,0.017448220536756126,0.0005470096431961745,0.018991486574983625,0.016936956882714342,0.002054529692269283,0.15011037527593818,6.521958450754945,0.0018413637705956044,1.0
6112,17,2,15,1,0,1,0.017993929758635643,0.017454949822716045,0.0005389799359195972,0.01899978161170561,0.016995128432240922,0.0020046531794646882,0.15011037527593818,6.522992289003415,0.001865177332820276,1.0
6113,21,6,15,0,0,0,0.017990029622137128,0.017452563658567705,0.000537465963569423,0.018991486574983625,0.016994187655687793,0.001997298919295832,0.15011037527593818,6.524064433833541,0.0018879369178318001,1.0
6114,26,5,21,2,1,1,0.01802289883338751,0.017458335990961027,0.0005645628424264838,0.019209779524121368,0.01699795138696639,0.0022118281371549774,0.15011037527593818,6.525173152356068,0.0019091999174568714,1.0
6115,24,4,20,0,0,0,0.018020295402838466,0.01745515501015788,0.0005651403926805847,0.019205587079877778,0.016941645443472483,0.002263941636405295,0.15011037527593818,6.526297582300493,0.001927178969448417,1.0
6116,24,4,20,0,0,0,0.018017692724318468,0.0174519751883192,0.0005657175359992696,0.019213973799126635,0.016884410983170946,0.0023295628159556887,0.15011037527593818,6.527438411787647,0.0019438536900127086,1.0
6117,21,2,19,0,0,0,0.01801639166696754,0.017448955430486496,0.0005674362364810441,0.019234972677595625,0.01687320203584864,0.0023617706417469846,0.15011037527593818,6.528597854214425,0.00195935174752292,1.0
6118,17,3,14,1,0,1,0.018014440433212996,0.017455836823893643,0.0005586036093193532,0.019243385086376553,0.016931334034194653,0.0023120510521819,0.15011037527593818,6.529791801670212,0.001974927441339424,1.0
6119,23,3,20,1,0,1,0.018012489622062592,0.017461762563729062,0.0005507270583335298,0.01923917796239615,0.016983845983624696,0.002255331978771452,0.15011037527593818,6.531004159273308,0.001987608657062024,1.0
