t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
4377,20,5,15,0,0,0,0.019782597496265004,0.018422626242064147,0.0013599712542008563,0.019438922023415062,0.018236406093628376,0.0012025159297866864,0.15011037527593818,6.323051647973576,0.0012453126717245646,1.0
4378,24,3,21,0,0,0,0.019779540537756258,0.018417705418468582,0.0013618351192876757,0.019434628975265014,0.018229311398877342,0.0012053175763876711,0.15011037527593818,6.323041675605983,0.001199691566307777,1.0
4379,26,4,22,1,0,1,0.019775466062416314,0.01842526894026093,0.001350197122155384,0.019434628975265014,0.018281840408979774,0.0011527885662852393,0.15011037527593818,6.322931149762039,0.0011505068247810051,1.0
4380,27,7,20,0,0,0,0.01976833976833977,0.018420584271948336,0.001347755496391434,0.01942604856512141,0.01828387240191175,0.0011421761632096593,0.15011037527593818,6.322728268883552,0.001101063723288673,1.0
4381,25,9,16,0,0,0,0.019759184933621488,0.01841683825211622,0.0013423466815052666,0.01940463065049614,0.018224247138570952,0.0011803835119251864,0.15011037527593818,6.322459843368969,0.0010531709204213836,1.0
4382,30,6,24,0,0,0,0.019753086419753086,0.018411222078219106,0.0013418643415339798,0.01940463065049614,0.018220197755804912,0.0011844328946912265,0.15011037527593818,6.322120291905639,0.0010035966225516765,1.0
4383,17,4,13,1,1,0,0.0198004525817733,0.01840818141396176,0.0013922711678115395,0.019638128861429828,0.018231337891167806,0.0014067909702620215,0.15011037527593818,6.321702886254846,0.0009531245537714294,1.0
4384,26,4,22,1,0,1,0.019796380090497737,0.01841573847111269,0.0013806416193850451,0.01966416261599646,0.01823742007228246,0.0014267425437140026,0.15011037527593818,6.32119364485947,0.0009009682118561517,1.0
4385,16,0,16,0,0,0,0.019796380090497737,0.018411997003288764,0.0013843830872089721,0.019690265486725658,0.01824249165739711,0.0014477738293285497,0.15011037527593818,6.320579631870554,0.0008470882179970784,1.0
4386,22,6,16,0,0,0,0.019790274493677394,0.01840825705544059,0.0013820174382368038,0.019690265486725658,0.018188897541439538,0.0015013679452861202,0.15011037527593818,6.319882308177766,0.0007944969277861575,1.0
4387,26,6,20,1,0,1,0.019784172661870502,0.018416276383759155,0.0013678962781113468,0.019690265486725658,0.018188897541439538,0.0015013679452861202,0.15011037527593818,6.319085172982387,0.0007397145018188777,1.0
4388,19,7,12,0,0,0,0.019777058612010068,0.018413471910254945,0.0013635867017551227,0.019672855879752427,0.018190921228304405,0.0014819346514480213,0.15011037527593818,6.318192191732467,0.0006851308953389805,1.0
4389,30,8,22,1,0,1,0.019768934531450576,0.01842101924565165,0.0013479152857989278,0.019651137116361225,0.018241477114732216,0.0014096600016290095,0.15011037527593818,6.317209568033198,0.0006308107476794173,1.0
4390,15,6,9,0,0,0,0.019762845849802372,0.018418916176172112,0.0013439296736302599,0.01963379660269137,0.018248581284077,0.0013852153186143697,0.15011037527593818,6.316159841144733,0.0005775879514581058,1.0
4391,26,5,21,1,0,1,0.019757774812686032,0.018426692706682055,0.0013310821060039772,0.01963379660269137,0.018305235631224614,0.0013285609714667572,0.15011037527593818,6.315013681112781,0.0005217561881016991,1.0
4392,21,5,16,0,0,0,0.019752706377302344,0.01842295451951971,0.0013297518577826337,0.01964679911699779,0.018300144621203693,0.001346654495794096,0.15011037527593818,6.313768805897079,0.00046539745446903043,1.0
4393,25,5,20,0,0,0,0.01974764054164957,0.018418283917909974,0.001329356623739595,0.019421761200617962,0.018301162596651276,0.0011205986039666861,0.15011037527593818,6.312408642565754,0.00040728426397599417,1.0
4394,21,3,18,0,0,0,0.019744602287296784,0.018414082400800943,0.0013305198864958408,0.019438922023415062,0.01830319888734353,0.0011357231360715307,0.15011037527593818,6.310963772641787,0.000351577958865303,1.0
4395,23,7,16,1,1,0,0.019788782938583,0.018410349327825856,0.0013784336107571446,0.01963379660269137,0.01825162762228034,0.0013821689804110297,0.15011037527593818,6.309403430778274,0.00029287881850193436,1.0
4396,19,4,15,1,0,1,0.019784725781650435,0.018419519116268462,0.0013652066653819725,0.01964679911699779,0.018312367805855503,0.001334431311142286,0.15011037527593818,6.307746058269187,0.00023557110889982626,1.0
4397,23,7,16,0,0,0,0.019777629758671925,0.018415786407275123,0.001361843351396802,0.01963379660269137,0.01826178943265965,0.0013720071700317193,0.15011037527593818,6.305948524470484,0.0001745295338319302,1.0
4398,22,6,16,2,1,1,0.019822773139374073,0.018424718247435735,0.0013980548919383384,0.019850022055580056,0.018325628028741714,0.0015243940268383424,0.15011037527593818,6.3040528358517705,0.00011696584625535753,1.0
4399,21,7,14,0,0,0,0.019815668202764977,0.018421452446065027,0.00139421575669995,0.01984564498346196,0.018329711961669173,0.0015159330217927869,0.15011037527593818,6.302249332018375,0.00015113986076537668,1.0
4400,21,4,17,0,0,0,0.019811610525238048,0.01841748838622296,0.0013941221390150887,0.019841269841269837,0.01832460732984293,0.0015166625114269063,0.15011037527593818,6.30053184429106,0.00020735588891757786,1.0
4401,13,3,10,2,2,0,0.019910938219788094,0.01841515738314918,0.001495780836638913,0.020061728395061724,0.018328690807799444,0.0017330375872622802,0.15011037527593818,6.298903285456281,0.0002639456889361056,1.0
4402,20,3,17,1,0,1,0.0199078812691914,0.018423849774763374,0.0014840314944280265,0.020088300220750546,0.01838747422967627,0.0017008259910742778,0.15011037527593818,6.297375096853879,0.00032126822861569364,1.0
4403,22,3,19,1,0,1,0.019904825257125315,0.01843207205839564,0.0014727531987296753,0.01986754966887417,0.018446277307177888,0.0014212723616962818,0.15011037527593818,6.29594353893232,0.00037792059907600014,1.0
4404,18,4,14,1,0,1,0.019900752033560138,0.018441456596805,0.0014592954367551383,0.019863164864268368,0.018507163164055967,0.001356001700212401,0.15011037527593818,6.294624122638906,0.0004359289072931838,1.0
4405,15,4,11,0,0,0,0.01989668047670196,0.01843889113719142,0.0014577893395105387,0.019871936409803486,0.01851748563779352,0.0013544507720099665,0.15011037527593818,6.293388289255102,0.0004908902407861122,1.0
4406,21,4,17,1,1,0,0.019943748401943236,0.018434927739635093,0.0015088206623081434,0.020097173144876322,0.018514387686816864,0.0015827854580594582,0.15011037527593818,6.292227193613666,0.0005452706800207769,1.0
4407,15,6,9,1,1,0,0.01998875313123051,0.018432830160054616,0.0015559229711758944,0.020318021201413423,0.018420318169132012,0.0018977030322814108,0.15011037527593818,6.2911639042603085,0.0006008968047065327,1.0
4408,26,2,24,1,0,1,0.01998670960486633,0.018439877657288745,0.0015468319475775844,0.020331491712707178,0.018409014838781657,0.0019224768739255216,0.15011037527593818,6.290196379542414,0.0006562556122112328,1.0
4409,16,3,13,0,0,0,0.0199836450986405,0.018436848423579958,0.0015467966750605418,0.0203269995581087,0.018420318169132012,0.001906681388976688,0.15011037527593818,6.289344646840683,0.0007127715651521794,1.0
4410,24,7,17,0,0,0,0.0199764982373678,0.018432888619365272,0.001543609618002529,0.020322509388115747,0.018419290020093772,0.0019032193680219751,0.15011037527593818,6.288598253157778,0.0007679238214946313,1.0
4411,19,3,16,0,0,0,0.019973436861463016,0.018429163298302343,0.0015442735631606731,0.020340481980986067,0.018364499023164945,0.001975982957821122,0.15011037527593818,6.2879567074562965,0.0008226835059831516,1.0
4412,16,5,11,0,0,0,0.01996833665287779,0.018426603013425278,0.0015417336394525118,0.020349480203494797,0.018373729476153244,0.0019757507273415534,0.15011037527593818,6.2873997823612875,0.0008751419720799678,1.0
4413,24,4,20,1,0,1,0.019964258360990556,0.018434576194143865,0.0015296821668466902,0.02035848639079442,0.01826611551781924,0.0020923708729751814,0.15011037527593818,6.286956431511268,0.0009292735177983605,1.0
4414,21,6,15,0,0,0,0.019958144045735288,0.01843108541419446,0.0015270586315408279,0.020349480203494797,0.01827326068734283,0.0020762195161519656,0.15011037527593818,6.286605637529588,0.0009810591306120004,1.0
4415,15,3,12,1,0,1,0.01995508829233439,0.018440915860954737,0.0015141724313796519,0.020349480203494797,0.01827938956900889,0.0020700906344859084,0.15011037527593818,6.286349341768537,0.0010324060811876992,1.0
4416,27,5,22,0,0,0,0.01994999744884943,0.01843579648697759,0.0015142009618718394,0.020353982300884952,0.018275303191192086,0.002078679109692866,0.15011037527593818,6.286198955233672,0.0010839242350737589,1.0
4417,22,7,15,1,0,1,0.01994287463021524,0.01844492386107011,0.001497950769145131,0.02033598585322723,0.018336314847942754,0.0019996710052844757,0.15011037527593818,6.286141547290497,0.0011335538753332152,1.0
4418,21,4,17,0,0,0,0.01993880673125956,0.018440968718466195,0.001497838012793365,0.020331491712707178,0.01834349309322745,0.001987998619479729,0.15011037527593818,6.286161887607853,0.0011812765539020208,1.0
4419,25,3,22,0,0,0,0.01993575689593637,0.018435852815818013,0.0014999040801183562,0.02033598585322723,0.018283477774671514,0.0020525080785557155,0.15011037527593818,6.286269870528982,0.0012290725725282088,1.0
4420,24,2,22,0,0,0,0.019933724190670406,0.018430739750895063,0.0015029844397753435,0.020340481980986067,0.018275303191192086,0.002065178789793981,0.15011037527593818,6.286467277087585,0.0012759647553714816,1.0
4421,15,3,12,0,0,0,0.01993067590987868,0.01842795200161339,0.0015027239082652903,0.020353982300884952,0.018223489295097546,0.002130493005787406,0.15011037527593818,6.28672981740452,0.0013200647242587553,1.0
4422,26,6,20,1,0,1,0.019924582144313085,0.01843590906799738,0.0014886730763157066,0.020340481980986067,0.0182804114490161,0.0020600705319699687,0.15011037527593818,6.2870470137168795,0.001362354739831762,1.0
4423,17,4,13,0,0,0,0.019920521703688607,0.018432889415262887,0.00148763228842572,0.020344980097302075,0.01828654512918018,0.002058434968121893,0.15011037527593818,6.28744623067249,0.0014058585521029346,1.0
4424,22,4,18,1,0,1,0.019916462917685413,0.018441306511141623,0.00147515640654379,0.02033598585322723,0.018278367803242036,0.0020576180499851937,0.15011037527593818,6.287907747767635,0.0014466157174295327,1.0
4425,29,6,23,1,1,0,0.019961299521336184,0.01843596524367208,0.0015253342776641032,0.020538869257950527,0.018276324614352784,0.002262544643597743,0.15011037527593818,6.288448295641277,0.0014877756584661863,1.0
4426,18,1,17,1,0,1,0.01996028311013799,0.018444609515655887,0.0015156735944821045,0.020561574176431566,0.01828143344328283,0.002280140733148736,0.15011037527593818,6.2890851085463915,0.0015295237953493457,1.0
