t,captures_total,captures_in,captures_out,M_total,M_in,M_out,G_total,G_in,G_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
47,10,3,7,0,0,0,10,3,7,0.024999999999999793,0.02574257425742569,-0.0007425742574258959,0.024999999999999793,0.02574257425742569,-0.0007425742574258959,0.15043290043290045,2.1920515350326544,0.020153649899187453
48,14,3,11,0,0,0,14,3,11,0.024390243902438827,0.025193798449612354,-0.0008035545471735267,0.024390243902438827,0.025193798449612354,-0.0008035545471735267,0.15043290043290045,2.232865981192767,0.020233085963137446
49,8,0,8,0,0,0,8,0,8,0.024390243902438827,0.024809160305343463,-0.0004189164029046351,0.024390243902438827,0.024809160305343463,-0.0004189164029046351,0.15043290043290045,2.2733808602972028,0.020265483448696428
50,13,3,10,0,0,0,13,3,10,0.02380952380952362,0.024344569288389465,-0.0005350454788658442,0.02380952380952362,0.024344569288389465,-0.0005350454788658442,0.15043290043290045,2.313865135516861,0.02030760783380381
51,10,0,10,0,0,0,10,0,10,0.02380952380952362,0.02389705882352937,-8.753501400574765e-05,0.02380952380952362,0.02389705882352937,-8.753501400574765e-05,0.15043290043290045,2.3538587880335227,0.020292096222121393
52,15,2,13,0,0,0,15,2,13,0.02343749999999982,0.02333931777378811,9.81822262117113e-05,0.02343749999999982,0.02333931777378811,9.81822262117113e-05,0.15043290043290045,2.3934130109968597,0.020266737399771004
53,12,2,10,0,0,0,12,2,10,0.0230769230769229,0.022927689594356218,0.00014923348256668315,0.0230769230769229,0.022927689594356218,0.00014923348256668315,0.15043290043290045,2.432822368032888,0.020253566144718856
54,16,5,11,1,0,1,15,5,10,0.02222222222222206,0.02422145328719719,-0.00199923106497513,0.02222222222222206,0.02422145328719719,-0.00199923106497513,0.15043290043290045,2.4723866946143884,0.02025318839565196
55,13,3,10,1,0,1,12,3,9,0.021739130434782452,0.02551020408163261,-0.0037710736468501566,0.021739130434782452,0.02551020408163261,-0.0037710736468501566,0.15043290043290045,2.5115544224669204,0.020186915143544752
56,11,4,7,0,0,0,11,4,7,0.021126760563380132,0.0252100840336134,-0.004083323470233269,0.021126760563380132,0.0252100840336134,-0.004083323470233269,0.15043290043290045,2.5506137988251814,0.020132372029606323
57,15,2,13,0,0,0,15,2,13,0.02083333333333319,0.024671052631578906,-0.003837719298245716,0.02083333333333319,0.024671052631578906,-0.003837719298245716,0.15043290043290045,2.5895444522329334,0.02006099588588143
58,10,2,8,0,0,0,10,2,8,0.020547945205479312,0.02435064935064931,-0.003802704145169998,0.020547945205479312,0.02435064935064931,-0.003802704145169998,0.15043290043290045,2.6280465208896695,0.019947245284526027
59,15,5,10,0,0,0,15,5,10,0.01986754966887404,0.023961661341852996,-0.004094111672978955,0.01986754966887404,0.023961661341852996,-0.004094111672978955,0.15043290043290045,2.6661662542967,0.019823048311847197
60,16,5,11,2,0,2,14,5,9,0.019230769230769107,0.0266875981161695,-0.007456828885400394,0.019230769230769107,0.0266875981161695,-0.007456828885400394,0.15043290043290045,2.70380379714369,0.019675058413431815
61,8,1,7,1,0,1,7,1,6,0.019108280254776948,0.027950310559006167,-0.008842030304229219,0.019108280254776948,0.027950310559006167,-0.008842030304229219,0.15043290043290045,2.7411481350258784,0.019530057762210222
62,18,0,18,0,0,0,18,0,18,0.019108280254776948,0.027190332326283945,-0.008082052071506998,0.019108280254776948,0.027190332326283945,-0.008082052071506998,0.15043290043290045,2.777982955261662,0.019350669554548047
63,17,4,13,0,0,0,17,4,13,0.018633540372670693,0.026666666666666627,-0.008033126293995933,0.018633540372670693,0.026666666666666627,-0.008033126293995933,0.15043290043290045,2.8145677229589854,0.019181039025093667
64,6,2,4,0,0,0,6,2,4,0.01840490797546001,0.02650957290132544,-0.00810466492586543,0.01840490797546001,0.02650957290132544,-0.00810466492586543,0.15043290043290045,2.850658344284029,0.018974675034427617
65,13,3,10,0,0,0,13,3,10,0.018072289156626398,0.02612481857764873,-0.00805252942102233,0.018072289156626398,0.02612481857764873,-0.00805252942102233,0.15043290043290045,2.88613641970082,0.018743362195144078
66,12,2,10,0,0,0,12,2,10,0.017857142857142752,0.025751072961373352,-0.0078939301042306,0.017857142857142752,0.025751072961373352,-0.0078939301042306,0.15043290043290045,2.9211633102255337,0.018513161865104762
67,17,3,14,0,0,0,17,3,14,0.017543859649122705,0.02524544179523138,-0.007701582146108676,0.017543859649122705,0.02524544179523138,-0.007701582146108676,0.15043290043290045,2.955755835085639,0.018270868868321393
68,14,3,11,0,0,0,14,3,11,0.01724137931034473,0.02486187845303864,-0.007620499142693908,0.01724137931034473,0.02486187845303864,-0.007620499142693908,0.15043290043290045,2.9898658496734605,0.01801065747695157
69,11,3,8,0,0,0,11,3,8,0.016949152542372788,0.024590163934426194,-0.007641011392053407,0.016949152542372788,0.024590163934426194,-0.007641011392053407,0.15043290043290045,3.023291619867395,0.017718500043088108
70,7,1,6,0,0,0,7,1,6,0.01685393258426957,0.02439024390243899,-0.007536311318169422,0.01685393258426957,0.02439024390243899,-0.007536311318169422,0.15043290043290045,3.0561344433890083,0.017422647982758756
71,10,3,7,1,0,1,9,3,6,0.016574585635359025,0.02550335570469795,-0.008928770069338926,0.016574585635359025,0.02550335570469795,-0.008928770069338926,0.15043290043290045,3.088104364332095,0.017087103997462244
72,12,2,10,0,0,0,12,2,10,0.01639344262295073,0.02516556291390725,-0.00877212029095652,0.01639344262295073,0.02516556291390725,-0.00877212029095652,0.15043290043290045,3.119294560029374,0.016747558551588725
73,14,3,11,0,0,0,14,3,11,0.01612903225806443,0.024804177545691874,-0.008675145287627445,0.01612903225806443,0.024804177545691874,-0.008675145287627445,0.15043290043290045,3.1499225518102,0.016415772941064624
74,10,1,9,0,0,0,10,1,9,0.016042780748663017,0.02451612903225803,-0.008473348283595014,0.016042780748663017,0.02451612903225803,-0.008473348283595014,0.15043290043290045,3.179956769479617,0.016068946913416465
75,11,1,10,0,0,0,11,1,10,0.015957446808510554,0.024203821656050922,-0.008246374847540369,0.015957446808510554,0.024203821656050922,-0.008246374847540369,0.15043290043290045,3.2092662029174246,0.015698134759222996
76,12,2,10,0,0,0,12,2,10,0.015789473684210444,0.02389937106918236,-0.008109897384971917,0.015789473684210444,0.02389937106918236,-0.008109897384971917,0.15043290043290045,3.2378606103595047,0.015316640394738772
77,13,2,11,0,0,0,13,2,11,0.015624999999999918,0.0235732009925558,-0.007948200992555882,0.015624999999999918,0.0235732009925558,-0.007948200992555882,0.15043290043290045,3.2658247256977693,0.014931689835401708
78,12,2,10,0,0,0,12,2,10,0.015463917525773117,0.023284313725490165,-0.007820396199717049,0.015463917525773117,0.023284313725490165,-0.007820396199717049,0.15043290043290045,3.2930784830460826,0.014528324923605356
79,10,2,8,0,0,0,10,2,8,0.015306122448979513,0.02305825242718444,-0.007752129978204925,0.015306122448979513,0.02305825242718444,-0.007752129978204925,0.15043290043290045,3.3196267891375295,0.01411471221325283
80,11,1,10,1,1,0,10,0,10,0.02030456852791868,0.022781774580335704,-0.0024772060524170247,0.02030456852791868,0.022781774580335704,-0.0024772060524170247,0.15043290043290045,3.345440633456701,0.013688028157768276
81,8,2,6,0,0,0,8,2,6,0.020100502512562714,0.02261904761904759,-0.002518545106484877,0.020100502512562714,0.02261904761904759,-0.002518545106484877,0.15043290043290045,3.37036340650202,0.013236779810263031
82,12,2,10,0,0,0,12,2,10,0.019900497512437713,0.02235294117647056,-0.002452443664032848,0.019900497512437713,0.02235294117647056,-0.002452443664032848,0.15043290043290045,3.3944370383258406,0.01277967753923748
83,12,5,7,1,0,1,11,5,6,0.019417475728155244,0.023337222870478385,-0.003919747142323141,0.019417475728155244,0.023337222870478385,-0.003919747142323141,0.15043290043290045,3.417702298827754,0.012316955636540606
84,17,4,13,0,0,0,17,4,13,0.019047619047618956,0.02298850574712641,-0.003940886699507453,0.019047619047618956,0.02298850574712641,-0.003940886699507453,0.15043290043290045,3.440058983618682,0.01183591300069394
85,12,3,9,1,0,1,11,3,8,0.01877934272300461,0.023890784982935127,-0.005111442259930519,0.01877934272300461,0.023890784982935127,-0.005111442259930519,0.15043290043290045,3.461614127218707,0.01135609187788703
86,12,2,10,0,0,0,12,2,10,0.01860465116279061,0.02362204724409446,-0.005017396081303849,0.01860465116279061,0.02362204724409446,-0.005017396081303849,0.15043290043290045,3.4822302409660533,0.010855223720406326
87,12,1,11,0,0,0,12,1,11,0.018518518518518434,0.023333333333333307,-0.004814814814814872,0.018518518518518434,0.023333333333333307,-0.004814814814814872,0.15043290043290045,3.501830687181693,0.010339309087101779
88,15,2,13,0,0,0,15,2,13,0.018348623853210927,0.02300109529025189,-0.004652471437040964,0.018348623853210927,0.02300109529025189,-0.004652471437040964,0.15043290043290045,3.520580193170625,0.009831073107945724
89,12,2,10,0,0,0,12,2,10,0.0181818181818181,0.022751895991332587,-0.0045700778095144855,0.0181818181818181,0.022751895991332587,-0.0045700778095144855,0.15043290043290045,3.5382800538863832,0.009297260227455514
90,11,1,10,0,0,0,11,1,10,0.018099547511312136,0.02250803858520898,-0.004408491073896844,0.018099547511312136,0.02250803858520898,-0.004408491073896844,0.15043290043290045,3.554849372922232,0.008749162963787971
91,15,2,13,1,0,1,14,2,12,0.017937219730941624,0.023255813953488347,-0.0053185942225467235,0.017937219730941624,0.023255813953488347,-0.0053185942225467235,0.15043290043290045,3.570350582434386,0.008200448502292705
92,16,3,13,0,0,0,16,3,13,0.01769911504424771,0.022940563086548463,-0.005241448042300752,0.01769911504424771,0.022940563086548463,-0.005241448042300752,0.15043290043290045,3.5850054506460434,0.007666278468290628
93,12,3,9,0,0,0,12,3,9,0.017467248908296866,0.022727272727272704,-0.005260023818975838,0.017467248908296866,0.022727272727272704,-0.005260023818975838,0.15043290043290045,3.598667073403994,0.007112937712976042
94,14,1,13,0,0,0,14,1,13,0.01739130434782601,0.02242609582059121,-0.005034791472765199,0.01739130434782601,0.02242609582059121,-0.005034791472765199,0.15043290043290045,3.6113145219742715,0.006552499586449993
95,18,4,14,0,0,0,18,4,14,0.017094017094017023,0.022110552763819073,-0.00501653566980205,0.017094017094017023,0.022110552763819073,-0.00501653566980205,0.15043290043290045,3.6229799585688838,0.005990299737802415
96,12,4,8,1,1,0,11,3,8,0.02100840336134445,0.02193419740777665,-0.000925794046432199,0.02100840336134445,0.02193419740777665,-0.000925794046432199,0.15043290043290045,3.6337030750417907,0.005427461333479505
97,11,2,9,0,0,0,11,2,9,0.020833333333333245,0.021739130434782587,-0.0009057971014493418,0.020833333333333245,0.021739130434782587,-0.0009057971014493418,0.15043290043290045,3.6433522393568927,0.004848551054626441
98,10,1,9,0,0,0,10,1,9,0.020746887966804895,0.0215475024485798,-0.0008006144817749063,0.020746887966804895,0.0215475024485798,-0.0008006144817749063,0.15043290043290045,3.652010314878507,0.004273855562603711
99,12,2,10,0,0,0,12,2,10,0.020576131687242715,0.021338506304558663,-0.000762374617315948,0.020576131687242715,0.021338506304558663,-0.000762374617315948,0.15043290043290045,3.6597105532138503,0.003699220105829109
100,12,4,8,0,0,0,12,4,8,0.020242914979757002,0.02117420596727621,-0.0009312909875192066,0.020242914979757002,0.02117420596727621,-0.0009312909875192066,0.15043290043290045,3.6663903352801244,0.00311620696558461
101,15,6,9,0,0,0,15,6,9,0.019762845849802292,0.020992366412213723,-0.0012295205624114312,0.019762845849802292,0.020992366412213723,-0.0012295205624114312,0.15043290043290045,3.671941319924163,0.0025210197021107036
102,9,1,8,0,0,0,9,1,8,0.019685039370078664,0.020833333333333315,-0.0011482939632546513,0.019685039370078664,0.020833333333333315,-0.0011482939632546513,0.15043290043290045,3.6764500372927147,0.0019321387404945306
103,13,3,10,1,0,1,12,3,9,0.01945525291828786,0.021575984990619117,-0.0021207320723312557,0.01945525291828786,0.021575984990619117,-0.0021207320723312557,0.15043290043290045,3.6798901256267786,0.001339558550425653
104,12,1,11,0,0,0,12,1,11,0.019379844961240233,0.021355617455895988,-0.0019757724946557545,0.019379844961240233,0.021355617455895988,-0.0019757724946557545,0.15043290043290045,3.682267442465292,0.0007467055138766123
105,8,0,8,0,0,0,8,0,8,0.019379844961240233,0.02119815668202763,-0.001818311720787398,0.019379844961240233,0.02119815668202763,-0.001818311720787398,0.15043290043290045,3.6842321879644544,0.0004911020353911491
106,11,2,9,0,0,0,11,2,9,0.019230769230769156,0.021023765996343674,-0.0017929967655745185,0.019230769230769156,0.021023765996343674,-0.0017929967655745185,0.15043290043290045,3.6870745772824365,0.0010672593721777347
107,16,4,12,1,0,1,15,4,11,0.018939393939393867,0.02169981916817358,-0.0027604252287797143,0.018939393939393867,0.02169981916817358,-0.0027604252287797143,0.15043290043290045,3.6909002124615693,0.001652665428179454
108,9,2,7,0,0,0,9,2,7,0.018796992481202934,0.021563342318059283,-0.0027663498368563494,0.018796992481202934,0.021563342318059283,-0.0027663498368563494,0.15043290043290045,3.695661264941442,0.0022326733589501896
109,12,3,9,0,0,0,12,3,9,0.018587360594795467,0.021390374331550784,-0.0028030137367553165,0.018587360594795467,0.021390374331550784,-0.0028030137367553165,0.15043290043290045,3.701396890326561,0.002814891532153757
110,15,2,13,0,0,0,15,2,13,0.01845018450184495,0.02114537444933919,-0.00269518994749424,0.01845018450184495,0.02114537444933919,-0.00269518994749424,0.15043290043290045,3.7081142888747562,0.003395920280137619
111,15,2,13,0,0,0,15,2,13,0.018315018315018246,0.02090592334494772,-0.002590905029929473,0.018315018315018246,0.02090592334494772,-0.002590905029929473,0.15043290043290045,3.7157346273460408,0.00396735291254456
112,10,2,8,1,0,1,9,2,7,0.018181818181818115,0.021626297577854656,-0.0034444793960365407,0.018181818181818115,0.021626297577854656,-0.0034444793960365407,0.15043290043290045,3.7244369563344324,0.00455262530443966
113,14,3,11,1,0,1,13,3,10,0.0179856115107913,0.02227934875749784,-0.0042937372467065395,0.0179856115107913,0.02227934875749784,-0.0042937372467065395,0.15043290043290045,3.7340803320886433,0.005121680119907989
114,15,2,13,0,0,0,15,2,13,0.01785714285714279,0.022033898305084728,-0.004176755447941938,0.01785714285714279,0.022033898305084728,-0.004176755447941938,0.15043290043290045,3.7446234514900536,0.005683303903852582
115,13,3,10,0,0,0,13,3,10,0.017667844522968133,0.021848739495798304,-0.0041808949728301716,0.017667844522968133,0.021848739495798304,-0.0041808949728301716,0.15043290043290045,3.7561850311067473,0.0062518810549159025
116,22,1,21,0,0,0,22,1,21,0.017605633802816836,0.02146985962014862,-0.0038642258173317845,0.017605633802816836,0.02146985962014862,-0.0038642258173317845,0.15043290043290045,3.7686792894893086,0.006808055768874201
117,9,2,7,0,0,0,9,2,7,0.01748251748251742,0.021346469622331676,-0.0038639521398142543,0.01748251748251742,0.021346469622331676,-0.0038639521398142543,0.15043290043290045,3.782132828585353,0.007361807666718351
118,14,2,12,3,1,2,11,1,10,0.02083333333333326,0.022764227642276407,-0.0019308943089431478,0.02083333333333326,0.022764227642276407,-0.0019308943089431478,0.15043290043290045,3.7965366850448197,0.007909427020436703
119,14,2,12,0,0,0,14,2,12,0.02068965517241372,0.022544283413848613,-0.0018546282414348934,0.02068965517241372,0.022544283413848613,-0.0018546282414348934,0.15043290043290045,3.8117546343265727,0.008438716774874936
120,11,0,11,1,0,1,10,0,10,0.02068965517241372,0.02314445331205106,-0.002454798139637341,0.02068965517241372,0.02314445331205106,-0.002454798139637341,0.15043290043290045,3.827866491765536,0.008969266539896287
121,13,4,9,0,0,0,13,4,9,0.02040816326530605,0.022979397781299506,-0.002571234515993455,0.02040816326530605,0.022979397781299506,-0.002571234515993455,0.15043290043290045,3.8447574133617306,0.009482653585513963
122,10,3,7,1,0,1,9,3,6,0.02020202020202013,0.02364066193853426,-0.00343864173651413,0.02020202020202013,0.02364066193853426,-0.00343864173651413,0.15043290043290045,3.8624274419103073,0.009989113854622495
123,20,0,20,1,0,1,19,0,19,0.02020202020202013,0.024049650892164452,-0.0038476306901443214,0.02020202020202013,0.024049650892164452,-0.0038476306901443214,0.15043290043290045,3.8809370961272394,0.010493856779291239
124,17,6,11,0,0,0,17,6,11,0.019801980198019736,0.02384615384615383,-0.004044173648134093,0.019801980198019736,0.02384615384615383,-0.004044173648134093,0.15043290043290045,3.9003898394669627,0.011000478080773635
125,9,3,6,0,0,0,9,3,6,0.019607843137254836,0.023736600306278697,-0.004128757169023861,0.019607843137254836,0.023736600306278697,-0.004128757169023861,0.15043290043290045,3.920590418330515,0.011480946943974389
126,13,2,11,0,0,0,13,2,11,0.019480519480519414,0.023538344722854956,-0.0040578252423355415,0.019480519480519414,0.023538344722854956,-0.0040578252423355415,0.15043290043290045,3.941541682288418,0.011953227888617341
127,11,2,9,1,0,1,10,2,8,0.019354838709677354,0.02413273001508294,-0.004777891305405586,0.019354838709677354,0.02413273001508294,-0.004777891305405586,0.15043290043290045,3.9632529214792025,0.012417555843558433
128,15,3,12,0,0,0,15,3,12,0.019169329073482365,0.023916292974588922,-0.004746963901106557,0.019169329073482365,0.023916292974588922,-0.004746963901106557,0.15043290043290045,3.9857272916951216,0.012873009591614788
129,8,2,6,0,0,0,8,2,6,0.019047619047618987,0.023809523809523794,-0.0047619047619048074,0.019047619047618987,0.023809523809523794,-0.0047619047619048074,0.15043290043290045,4.008863295716836,0.013309553796855143
130,15,3,12,0,0,0,15,3,12,0.018867924528301827,0.023598820058997036,-0.004730895530695209,0.018867924528301827,0.023598820058997036,-0.004730895530695209,0.15043290043290045,4.03273943491214,0.013743513522815607
131,9,2,7,0,0,0,9,2,7,0.01874999999999994,0.023477622890682302,-0.004727622890682362,0.01874999999999994,0.023477622890682302,-0.004727622890682362,0.15043290043290045,4.0573629683665,0.014167967919739108
132,14,1,13,0,0,0,14,1,13,0.01869158878504667,0.023255813953488358,-0.004564225168441689,0.01869158878504667,0.023255813953488358,-0.004564225168441689,0.15043290043290045,4.08260300629648,0.014569807122684731
133,10,2,8,1,0,1,9,2,7,0.018575851393188795,0.023843930635838135,-0.00526807924264934,0.018575851393188795,0.023843930635838135,-0.00526807924264934,0.15043290043290045,4.108345410677021,0.014950266899833402
