t,L,S,P,tau_max,tau_mean,tau_gini,tau_topk_frac
30,1.1807023108396273,22,0.0536682868563467,0.20684810043099536,0.03808717131740733,0.6944261093650018,0.8969374027392952
31,1.1272952684645887,22,0.051240694021117666,0.20266399093733292,0.0363643634988577,0.7119216958188017,0.9049109292426633
32,1.1362983724997309,22,0.05164992602271504,0.20188154503742772,0.036654786209668735,0.7054887391206045,0.9084478651849681
33,1.1721872694635773,21,0.05581844140302749,0.20816246704421898,0.0378124925633412,0.6966362374247919,0.8924329349105704
34,1.1315137019389294,21,0.05388160485423473,0.20141602337823125,0.03650044199802998,0.7114698847448935,0.9037862809885269
35,1.1833772504798032,21,0.05635129764189539,0.20906685731131258,0.03817345969289688,0.686043081401641,0.8874659126468324
36,1.1623967939938957,21,0.055352228285423605,0.20702959685245767,0.03749667077399663,0.7102202326218473,0.9039394861320391
37,1.144655824677756,21,0.05450742022275029,0.20859894571269447,0.036924381441217936,0.7103172365106276,0.902710795646964
38,1.1506424433961546,21,0.05479249730457879,0.2083469929280695,0.0371174981740695,0.710220673585993,0.9037052234743826
39,1.147266132612341,21,0.054631720600587665,0.2084287841270395,0.03700858492297874,0.7194707576566577,0.910974016318933
40,1.1668135141746478,21,0.05556254829403085,0.20461785633468185,0.037639145618537026,0.6889057532747817,0.8893810771920225
41,1.1060589442029896,21,0.052669473533475696,0.2005212132581285,0.0356793207807416,0.7231052334941571,0.913218287929648
42,1.1385710601131118,21,0.0542176695291958,0.2002773809335887,0.03672809871332619,0.7043884270035748,0.9000495912817678
43,1.1983221080427797,21,0.057062957525846655,0.2071895081654317,0.03865555187234773,0.6728197016097498,0.8743636146924927
44,1.201655429458811,21,0.057221687117086244,0.20947438971864876,0.03876307836963907,0.683389220628872,0.8861563732620232
45,1.1345734290294383,21,0.05402730614425896,0.2057539047483369,0.036599142871917366,0.7169504894443324,0.9075667683824735
46,1.1551844540709897,21,0.055008783527189985,0.20913384138090135,0.03726401464745128,0.7140397147814379,0.9072816998975809
47,1.1707994355727471,21,0.05575235407489272,0.20787442511459955,0.03776772372815313,0.6760281682666616,0.876425695128814
48,1.1433533231682667,21,0.05444539634134603,0.20914655152325534,0.03688236526349247,0.7169076629409539,0.9089237357153226
49,1.1555464054028282,21,0.055026019304896576,0.20906235627800565,0.037275690496865424,0.7154751888712477,0.9097441593745969
50,1.1869479905423972,21,0.056521332882971294,0.2019774057094294,0.03828864485620636,0.6879023162049199,0.8851786286621685
51,1.1210370107877403,21,0.053382714799416205,0.20530471262861621,0.036162484218959366,0.7268794524354817,0.919237350117771
52,1.176736337743404,20,0.0588368168871702,0.2030238372832213,0.037959236701400126,0.6921792930735717,0.8917547827980671
53,1.1368677063124155,20,0.056843385315620776,0.20172003203228198,0.03667315181652953,0.7221565200269653,0.9174300654517896
54,1.1678650645910047,20,0.05839325322955023,0.20430318750120277,0.03767306659970983,0.7027863811481723,0.902048598355876
55,1.1710316306289996,20,0.05855158153144998,0.2065555971669171,0.037775213891258055,0.695580049841875,0.8952323883266852
56,1.138722108854088,20,0.0569361054427044,0.2050002212673188,0.03673297125335768,0.7119920774220584,0.9046194856406528
57,1.1230817617547644,20,0.05615408808773822,0.20382002593421805,0.036228443927573045,0.7227400572600579,0.9163015845875773
58,1.1351712035766106,20,0.05675856017883053,0.2018010430205624,0.036618425921826146,0.7175922129869656,0.9098708136931108
59,1.1431865996461326,20,0.05715932998230663,0.20991631003398697,0.036876987085359116,0.712795226664221,0.907862319064628
60,1.1401963117235558,20,0.05700981558617779,0.20753590144228187,0.03678052618463083,0.731048830080006,0.9256334802329409
61,1.152133102189893,20,0.057606655109494656,0.20536735264099318,0.03716558394160945,0.7036710412493012,0.9024498501717988
62,1.1350156250333945,20,0.05675078125166973,0.20707376376316614,0.03661340725914176,0.7185753911144578,0.9157797964890164
63,1.1359118611633672,20,0.05679559305816836,0.20060041257562375,0.0366423181020441,0.7191622475797746,0.9130192666322618
64,1.142914390063948,20,0.0571457195031974,0.2009752909616288,0.0368682061310951,0.7092592526113042,0.9018514946333133
65,1.151746287590263,20,0.05758731437951316,0.20557934362530886,0.03715310605129881,0.7010323125957063,0.898027677482965
66,1.1238599851406015,20,0.05619299925703007,0.20128869206551003,0.036253547907761335,0.7206302874861193,0.9137035280145592
67,1.1594757756821645,20,0.05797378878410823,0.20564007114623525,0.037402444376844014,0.6922781548153233,0.8929109433573107
68,1.1496384485607973,19,0.060507286766357755,0.20853869470408432,0.03708511124389669,0.7155719173030104,0.9054558843014809
69,1.1739388969065403,19,0.06178625773192317,0.20774456195588328,0.03786899667440453,0.6965709616907891,0.8931279244451645
70,1.1503868656510012,19,0.060546677139526384,0.20269696062099393,0.03710925373067746,0.7027937589355144,0.8986226731197396
71,1.1458851037478741,19,0.06030974230251969,0.20369059104207116,0.036964035604770136,0.7034821735709885,0.8987125905572305
72,1.1671099032365235,19,0.06142683701244861,0.20055200868076808,0.03764870655601689,0.6946210033473904,0.8950331776557227
73,1.1440995879569043,19,0.060215767787205485,0.2006547220480337,0.03690643832119046,0.7164613160299739,0.9148748328068105
74,1.155922638935964,19,0.06083803362820863,0.20393368814903906,0.03728782706245045,0.6913236747669902,0.8858977468659085
75,1.1847339282433693,19,0.06235441727596681,0.20779695001348095,0.03821722349172159,0.6801120408053234,0.8775706606769429
76,1.1372567566423732,19,0.05985561877065122,0.20611674569723593,0.03668570182717333,0.723799994120146,0.9186117890996198
77,1.1867491399901293,19,0.06246048105211207,0.2091988512647323,0.03828223032226224,0.6850346956017441,0.8872371209398846
78,1.17575645714301,19,0.06188191879700052,0.2095307782381998,0.03792762764977451,0.6930448727019392,0.8911814586634875
79,1.1312033699793487,19,0.0595370194725973,0.2002821985098273,0.03649043128965641,0.7285284332401136,0.9194670211819643
80,1.155879302813113,19,0.06083575277963752,0.20535719124568452,0.037286429123003645,0.7055928651760077,0.9014752506483902
81,1.1434220939625128,19,0.06018011020855331,0.20149761414746425,0.03688458367621009,0.7138352302323024,0.910376755384826
82,1.153415289080388,19,0.060706067846336205,0.20481309490250432,0.037206944809044774,0.6996872401742504,0.8942794101988079
83,1.1843948363048937,18,0.06579971312804965,0.20014880490799125,0.03820628504209335,0.6769849604260386,0.8779102107911392
84,1.1636613533967155,18,0.06464785296648419,0.20545301528574475,0.03753746301279728,0.6839335296419647,0.8807670289332813
