t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
355,2008,5396,3388,1694,1.6872509960159363,8552.457653891359,8.456397709304637,224.6573710771986,8.938055272221602,0.0,0.0,1.0,124,7,0,117,0,5,500,2
356,2030,5454,3424,1712,1.6866995073891626,8644.385478933185,8.520171103208659,228.05862707649865,8.901219945163788,0.0,0.0,1.0,160,22,0,138,0,18,500,0
357,2041,5483,3442,1721,1.6864282214600685,8690.3493914541,8.520171103208659,228.05862707649865,8.949453156689305,0.0,0.0,1.0,127,11,0,116,0,9,500,0
358,2051,5507,3456,1728,1.6850316918576305,8728.388491471407,8.520171103208659,228.05862707649865,8.993301530803413,0.0,0.0,1.0,120,10,0,110,0,7,500,0
359,2068,5544,3476,1738,1.6808510638297873,8787.03210399809,8.520171103208659,228.05862707649865,9.067843766797395,0.0,0.0,1.0,155,17,0,138,0,10,500,0
360,2080,5580,3500,1750,1.6826923076923077,8844.090754024051,8.520171103208659,228.05862707649865,9.120461815734323,0.0,0.0,1.0,151,12,0,139,0,9,500,3
361,2096,5612,3516,1758,1.6774809160305344,8894.809554047128,8.520171103208659,228.05862707649865,9.190619214316897,0.0,0.0,1.0,140,16,0,124,0,8,500,0
362,2114,5662,3548,1774,1.6783349101229896,8974.057679083186,8.520171103208659,228.05862707649865,9.269546287722289,0.0,0.0,1.0,146,18,0,128,0,15,500,1
363,2119,5677,3558,1779,1.6790939122227466,8997.832116594003,8.520171103208659,228.05862707649865,9.291470474779343,0.0,0.0,1.0,155,5,0,150,0,3,500,2
364,2131,5709,3578,1789,1.679023932426091,9048.55091661708,8.520171103208659,228.05862707649865,9.344088523716271,0.0,0.0,1.0,148,12,0,136,0,9,500,1
365,2146,5740,3594,1797,1.6747437092264679,9097.684754139435,8.520171103208659,228.05862707649865,9.409861084887433,0.0,0.0,1.0,146,15,0,131,0,8,500,0
366,2160,5772,3612,1806,1.6722222222222223,9148.403554162513,8.520171103208659,228.05862707649865,9.471248808647182,0.0,0.0,1.0,132,14,0,118,0,9,500,0
367,2171,5799,3628,1814,1.6711192998618147,9191.197541681984,8.520171103208659,228.05862707649865,9.5194820201727,0.0,0.0,1.0,155,11,0,144,0,8,500,0
368,2181,5821,3640,1820,1.66895919303072,9226.06671669785,8.520171103208659,228.05862707649865,9.563330394286808,0.0,0.0,1.0,150,10,0,140,0,6,500,0
369,2190,5842,3652,1826,1.6675799086757992,9259.350929212993,8.520171103208659,228.05862707649865,9.602793930989504,0.0,0.0,1.0,156,9,0,147,0,5,500,1
370,2204,5884,3680,1840,1.6696914700544465,9325.919354243282,8.520171103208659,228.05862707649865,9.664181654749255,0.0,0.0,1.0,148,14,0,134,0,14,500,0
371,2222,5930,3708,1854,1.6687668766876689,9398.827629276457,8.520171103208659,228.05862707649865,9.743108728154649,0.0,0.0,1.0,171,18,0,153,0,14,500,0
372,2238,5970,3732,1866,1.6675603217158177,9462.226129305302,8.520171103208659,228.05862707649865,9.81326612673722,0.0,0.0,1.0,150,16,0,134,0,11,500,1
373,2251,6009,3758,1879,1.6694802310084407,9524.039666833427,8.520171103208659,228.05862707649865,9.87026901308556,0.0,0.0,1.0,134,13,0,121,0,12,500,1
374,2267,6043,3776,1888,1.6656374062637846,9577.928391857946,8.520171103208659,228.05862707649865,9.940426411668131,0.0,0.0,1.0,142,16,0,126,0,9,500,0
375,2285,6085,3800,1900,1.663019693654267,9644.496816888235,8.520171103208659,228.05862707649865,10.019353485073525,0.0,0.0,1.0,151,18,0,133,0,12,500,0
376,2296,6110,3814,1907,1.661149825783972,9684.120879406264,8.520171103208659,228.05862707649865,10.067586696599042,0.0,0.0,1.0,160,11,0,149,0,7,500,0
377,2311,6141,3830,1915,1.6572912159238424,9733.254716928619,8.520171103208659,228.05862707649865,10.133359257770204,0.0,0.0,1.0,155,15,0,140,0,8,500,0
378,2320,6160,3840,1920,1.6551724137931034,9763.369004442322,8.520171103208659,228.05862707649865,10.1728227944729,0.0,0.0,1.0,156,9,0,147,0,4,500,1
379,2332,6190,3858,1929,1.6543739279588336,9810.917879463956,8.520171103208659,228.05862707649865,10.225440843409828,0.0,0.0,1.0,155,12,0,143,0,9,500,0
380,2348,6234,3886,1943,1.6550255536626917,9880.656229495688,8.520171103208659,228.05862707649865,10.295598241992401,0.0,0.0,1.0,157,16,0,141,0,13,500,1
381,2359,6265,3906,1953,1.655786350148368,9929.790067018042,8.520171103208659,228.05862707649865,10.343831453517918,0.0,0.0,1.0,155,11,0,144,0,10,500,0
382,2376,6314,3938,1969,1.6574074074074074,10007.453229553379,8.520171103208659,228.05862707649865,10.4183736895119,0.0,0.0,1.0,177,17,0,160,0,16,500,0
383,2391,6351,3960,1980,1.656210790464241,10066.096842080062,8.520171103208659,228.05862707649865,10.484146250683063,0.0,0.0,1.0,179,15,0,164,0,11,500,0
384,2406,6384,3978,1989,1.653366583541147,10118.40060460386,8.520171103208659,228.05862707649865,10.549918811854223,0.0,0.0,1.0,178,15,0,163,0,9,500,0
385,2417,6409,3992,1996,1.6516342573438147,10158.024667121888,8.520171103208659,228.05862707649865,10.598152023379741,0.0,0.0,1.0,178,11,0,167,0,7,500,0
386,2431,6447,4016,2008,1.6519950637597696,10218.253242149294,8.520171103208659,228.05862707649865,10.659539747139492,0.0,0.0,1.0,144,14,0,130,0,11,500,1
