t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
1358,26,8,18,0,0,0,0.021179537308569564,0.016802299688246487,0.004377237620323077,0.02065026362038664,0.01705230836714552,0.003597955253241119,0.15043290043290045,4.511903240448306,0.0002814031578472715,1.0
1359,28,4,24,0,0,0,0.02116574405731032,0.01678598875540994,0.004379755301900379,0.020645728091368325,0.01704763470920353,0.003598093382164793,0.15043290043290045,4.511127174277293,0.00022963341627580078,1.0
1360,27,9,18,2,0,2,0.021134774833360424,0.016854613798957196,0.004280161034403228,0.0206276058810621,0.017160087719298247,0.0034675181617638516,0.15043290043290045,4.510264127612378,0.0001771668904578632,1.0
1361,20,7,13,0,0,0,0.021110750243585576,0.016845762301042257,0.004264987942543319,0.020614035087719293,0.017119341563786007,0.0034946935239332858,0.15043290043290045,4.509311747072044,0.0001244854270607504,1.0
1362,15,3,12,0,0,0,0.02110047070280798,0.0168375999353953,0.0042628707674126805,0.02063213345039508,0.017125919420353495,0.0035062140300415844,0.15043290043290045,4.508387202347356,0.00013967418163217981,1.0
1363,25,2,23,0,0,0,0.021093623235437283,0.01682197749001573,0.004271645745421552,0.02065026362038664,0.01712122043571311,0.003529043184673529,0.15043290043290045,4.507574393115798,0.0001945215124337741,1.0
1364,27,4,23,1,0,1,0.021079941624777037,0.01684668708689344,0.004233254537883598,0.020663882171905908,0.01717515364354697,0.0034887285283589364,0.15043290043290045,4.5068605915784765,0.0002480954655110907,1.0
1365,24,10,14,0,0,0,0.021045815120608706,0.016837186820269072,0.004208628300339634,0.02065026362038664,0.017177038744374932,0.003473224876011708,0.15043290043290045,4.50625217569114,0.0003021131272212922,1.0
1366,26,3,23,1,0,1,0.021035598705501615,0.01686184554710451,0.004173753158397103,0.020663882171905908,0.017177981449975302,0.0034859007219306057,0.15043290043290045,4.5057301891488,0.0003545538975660958,1.0
1367,18,2,16,0,0,0,0.02102879327078615,0.016850995375025137,0.004177797895761014,0.020672971189795466,0.017180810187726426,0.00349216100206904,0.15043290043290045,4.505286040315803,0.0004057690753694436,1.0
1368,26,6,20,0,0,0,0.021008403361344536,0.016837452280490255,0.004170951080854281,0.020659340659340657,0.017132502333754324,0.003526838325586333,0.15043290043290045,4.504906513247259,0.0004556804839659991,1.0
1369,27,7,20,0,0,0,0.02098466505246166,0.01682393093756274,0.0041607341148989195,0.020654801142606018,0.017125919420353495,0.0035288817222525228,0.15043290043290045,4.504612965405702,0.0005073029877323295,1.0
1370,20,1,19,0,0,0,0.0209812782440284,0.016811105761515007,0.004170172482513394,0.020686619718309856,0.01707290294246816,0.003613716775841696,0.15043290043290045,4.504420537787483,0.0005596089695085224,1.0
1371,26,8,18,0,0,0,0.020954223081882654,0.016798973618795607,0.004155249463087048,0.020672971189795466,0.01702080931202987,0.0036521618777655973,0.15043290043290045,4.504299776044111,0.0006091482319806183,1.0
1372,18,1,17,0,0,0,0.0209508460918614,0.016787531551744863,0.004163314540116536,0.020695728753852925,0.01701707196574628,0.003678656788106645,0.15043290043290045,4.504237867727071,0.0006574493507477093,1.0
1373,16,4,12,0,0,0,0.020937349009502334,0.016779464178446998,0.004157884831055336,0.02070028628055494,0.01701613788560764,0.0036841483949472988,0.15043290043290045,4.504259578088735,0.0007071312087289463,1.0
1374,19,5,14,1,1,0,0.021081429031219824,0.016770062037222335,0.004311366993997489,0.0209389464403791,0.017018006148440932,0.003920940291938169,0.15043290043290045,4.5043577578617064,0.0007557409967591447,1.0
