seed,perturb_eps,pair_scale,elapsed_sec,status,best_factorization,best_accessibility_score,runner_up_factorization,runner_up_accessibility_score,stderr_tail,fac_3x3x3x3_score,fac_3x3x3x3_mean_mi,fac_3x3x3x3_entropy,fac_3x3x3x3_anti_dom,fac_3x3x3x3_pair_count,fac_3x3x3x3_core_persist,fac_3x3x3x3_entropy_balance,fac_3x3x3x3_stability,fac_3x3x9_score,fac_3x3x9_mean_mi,fac_3x3x9_entropy,fac_3x3x9_anti_dom,fac_3x3x9_pair_count,fac_3x3x9_core_persist,fac_3x3x9_entropy_balance,fac_3x3x9_stability,fac_3x27_score,fac_3x27_mean_mi,fac_3x27_entropy,fac_3x27_anti_dom,fac_3x27_pair_count,fac_3x27_core_persist,fac_3x27_entropy_balance,fac_3x27_stability,fac_9x9_score,fac_9x9_mean_mi,fac_9x9_entropy,fac_9x9_anti_dom,fac_9x9_pair_count,fac_9x9_core_persist,fac_9x9_entropy_balance,fac_9x9_stability
2,0.05,0.08,10.128351299994392,ok,3x3x3x3,5.399530640221401,3x3x9,4.593838048141781,,5.399530640221401,0.009444305972514779,0.9961478368639267,0.9617414989432039,1.0,1.0,0.9643304142539519,0.9678665841878037,4.593838048141781,0.01745352730492338,0.9504066055559561,0.8697163662443743,0.6131471927654585,0.6363636363636365,0.8664515430467922,0.9584809950424582,1.9449649574150325,0.03139293888601337,0.0,0.0,0.0,0.0,0.9999999999999961,0.913572018529023,1.952019298559546,0.03712817555694787,0.0,0.0,0.0,0.0,0.9999999999999957,0.9148911230026024
2,0.05,0.12,9.98320270000113,ok,3x3x3x3,5.354822280939168,3x3x9,4.513840874705174,,5.354822280939168,0.009435746176010291,0.9960936496956172,0.9652045908148743,1.0,0.909090909090909,0.9622926917034192,0.9672501480037924,4.513840874705174,0.019342308895475658,0.9393922964494368,0.8565848504629134,0.6131471927654585,0.5454545454545453,0.8575497253788386,0.9550972280257792,1.9461637157059104,0.03415324177299151,0.0,0.0,0.0,0.0,0.9999999999999953,0.9120104739329234,1.9520236245311717,0.03713376216786167,0.0,0.0,0.0,0.0,0.9999999999999963,0.9148898623633138
2,0.05,0.25,10.153119200003857,ok,3x3x3x3,5.161528509411633,3x3x9,4.4997828431713005,,5.161528509411633,0.009386453915483128,0.9954761896142288,0.9660732190421992,1.0,0.5454545454545453,0.9516644885454631,0.9662008855669867,4.4997828431713005,0.026451277026448717,0.9151671799784321,0.8355741099831768,0.6131471927654585,0.6363636363636365,0.8409357205128875,0.9503255447230785,1.952918948203378,0.04774009057104255,0.0,0.0,0.0,0.0,0.9999999999999969,0.9051788576323385,1.9520377854457371,0.03715205906153805,0.0,0.0,0.0,0.0,0.9999999999999954,0.9148857263842037
2,0.05,0.5,10.053964900005667,ok,3x3x3x3,5.224634045291495,3x3x9,4.434750145294585,,5.224634045291495,0.009322560274593128,0.9943961607312723,0.9535182492260309,1.0,0.7272727272727273,0.939773944925856,0.963986766497379,4.434750145294585,0.03143452692155857,0.9021338038276823,0.8339613137437663,0.6131471927654585,0.5454545454545453,0.8316961921267257,0.9496498431821222,1.9699994952933286,0.07356469377314609,0.0,0.0,0.0,0.0,0.9999999999999966,0.896434801520186,1.9520652607100115,0.03718748386006239,0.0,0.0,0.0,0.0,0.9999999999999969,0.9148777768499523
3,0.01,0.08,10.032525199996599,ok,3x3x3x3,5.211084516877126,3x3x9,4.367442458592252,,5.211084516877126,0.000475547285765054,0.9938252511027147,0.966246466133241,1.0,0.7272727272727273,0.9204278052913097,0.9664730834277309,4.367442458592252,0.0027910216573673475,0.8880675125150771,0.8151165323788419,0.6131471927654585,0.5454545454545453,0.8306140843385861,0.9449788422096488,1.9176611663507226,0.004546280663677197,0.0,0.0,0.0,0.0,0.9999999999999392,0.9131148856871063,1.916602665055959,0.0017090715633542248,0.0,0.0,0.0,0.0,0.9999999999999158,0.914893593492689
3,0.01,0.12,9.983783899995615,ok,3x3x3x3,5.074604874859447,3x3x9,4.332283029617587,,5.074604874859447,0.00047511642674614047,0.9941135369352158,0.9643783556691353,1.0,0.4545454545454545,0.9220335502730737,0.966331588282549,4.332283029617587,0.0048860053583827025,0.869285915487194,0.8079537128743443,0.6131471927654585,0.5454545454545453,0.8200285377318878,0.9442543926730476,1.9192297586466052,0.00798120798727731,0.0,0.0,0.0,0.0,0.9999999999999601,0.9112485506593676,1.916602704235947,0.0017091228975481267,0.0,0.0,0.0,0.0,0.9999999999999228,0.914893581338476
3,0.01,0.25,10.087547899995116,ok,3x3x3x3,5.217177459470308,3x3x9,4.389464338106679,,5.217177459470308,0.00047392092185924645,0.9950793244231174,0.9614083338553222,1.0,0.7272727272727273,0.9316133397693555,0.9649661768642903,4.389464338106679,0.012681860195173568,0.846281759531579,0.8034412128335421,0.6131471927654585,0.7272727272727273,0.8064024532423754,0.9438734959021866,1.9273516080792965,0.023805658807945242,0.0,0.0,0.0,0.0,0.9999999999999489,0.9035459492714024,1.9166028346697432,0.00170929465826233,0.0,0.0,0.0,0.0,0.9999999999999131,0.914893540011568
3,0.01,0.5,9.998913900002663,ok,3x3x3x3,5.100045193420723,3x3x9,4.417413861574478,,5.100045193420723,0.000473316735394442,0.9951001358206754,0.9608263546992878,1.0,0.4545454545454545,0.9533226097267765,0.9630500491658616,4.417413861574478,0.017970225112629665,0.8360752048348767,0.7980551736416651,0.6131471927654585,0.8181818181818182,0.7990609942664235,0.9440141618625154,1.9469718896829233,0.05289496666364686,0.0,0.0,0.0,0.0,0.999999999999968,0.8940769230193083,1.9166030995950831,0.0017096470767595981,0.0,0.0,0.0,0.0,0.9999999999998497,0.9148934525184738
3,0.02,0.08,10.556912100000773,ok,3x3x3x3,5.213122041322369,3x3x9,4.541073144211787,,5.213122041322369,0.0016711457856007387,0.9937612054105119,0.9662870314227273,1.0,0.7272727272727273,0.9212365633527898,0.9665297317143745,4.541073144211787,0.004495797665588567,0.9260800895603191,0.8310270740171849,0.6131471927654585,0.7272727272727273,0.8516607067927345,0.9510259197741379,1.9212518618857928,0.00791555285167615,0.0,0.0,0.0,0.0,0.9999999999999606,0.9133363090341559,1.921035776160733,0.006142254094554736,0.0,0.0,0.0,0.0,0.9999999999999722,0.914893522066206
3,0.02,0.12,9.988254800002323,ok,3x3x3x3,5.076610710307998,3x3x9,4.40502634171427,,5.076610710307998,0.0016693669352895741,0.9940604876519245,0.964377329261876,1.0,0.4545454545454545,0.9228453951164092,0.9663854040697715,4.40502634171427,0.0065073050275925885,0.9044194060924808,0.8216509275438387,0.6131471927654585,0.5454545454545453,0.838428053514264,0.9481461840433624,1.9226155215934844,0.011061551493656013,0.0,0.0,0.0,0.0,0.9999999999999752,0.9115539700998532,1.921035935360246,0.00614246258373865,0.0,0.0,0.0,0.0,0.9999999999999761,0.9148934727765313
