seed,perturb_eps,pair_scale,elapsed_sec,status,best_factorization,best_accessibility_score,runner_up_factorization,runner_up_accessibility_score,stderr_tail,fac_3x3x3x3_score,fac_3x3x3x3_locality,fac_3x3x3x3_leakage,fac_3x3x3x3_entropy,fac_3x3x3x3_anti_dom,fac_3x3x3x3_pair_count,fac_3x3x3x3_core_persist,fac_3x3x3x3_ccorr,fac_3x3x9_score,fac_3x3x9_locality,fac_3x3x9_leakage,fac_3x3x9_entropy,fac_3x3x9_anti_dom,fac_3x3x9_pair_count,fac_3x3x9_core_persist,fac_3x3x9_ccorr,fac_9x9_score,fac_9x9_locality,fac_9x9_leakage,fac_9x9_entropy,fac_9x9_anti_dom,fac_9x9_pair_count,fac_9x9_core_persist,fac_9x9_ccorr,fac_3x27_score,fac_3x27_locality,fac_3x27_leakage,fac_3x27_entropy,fac_3x27_anti_dom,fac_3x27_pair_count,fac_3x27_core_persist,fac_3x27_ccorr
2,0.05,0.08,0.49154429999907734,ok,3x3x3x3,5.287640738028157,3x3x9,4.6177678240993645,,5.287640738028157,0.8856254849724685,0.9550557292443093,0.9954882784749668,0.9503990694297259,1.0,1.0,0.0010721759066872275,4.6177678240993645,0.7904763695409656,0.8689474936786398,0.965617359426208,0.8786708456062347,0.6131471927654585,1.0,0.0009085630818581606,1.0008260063240475,1.0,0.0,0.0,0.0,0.0,0.0,0.0008260063240474683,1.000735133205662,1.0,0.0,0.0,0.0,0.0,0.0,0.0007351332056619058
2,0.05,0.12,0.49163660000340315,ok,3x3x3x3,5.294522692296998,3x3x9,4.619421965119321,,5.294522692296998,0.8892335483940698,0.9563141122427744,0.9957781086192296,0.9521308297800739,1.0,1.0,0.0010660932608499943,4.619421965119321,0.7907059806209691,0.8692156083251839,0.9657076662193806,0.8797404842899517,0.6131471927654585,1.0,0.0009050328983777067,1.0007951757739495,1.0,0.0,0.0,0.0,0.0,0.0,0.0007951757739495178,1.000735214637495,1.0,0.0,0.0,0.0,0.0,0.0,0.0007352146374949863
2,0.05,0.25,0.4920053000023472,ok,3x3x3x3,5.2979894194686405,3x3x9,4.63765118213497,,5.2979894194686405,0.9143506917188123,0.9672745405251102,0.9972066667556174,0.9635592481375368,1.0,0.909090909090909,0.0010528177861097155,4.63765118213497,0.7918278852952941,0.8779185198101774,0.9661049998314034,0.8877801432242247,0.6131471927654585,1.0,0.0008724412084124309,1.0007636275081326,1.0,0.0,0.0,0.0,0.0,0.0,0.0007636275081326243,1.000735205693695,1.0,0.0,0.0,0.0,0.0,0.0,0.000735205693694842
2,0.05,0.5,0.48771490000217455,ok,3x3x3x3,5.101947715832568,3x3x9,4.41016363160744,,5.101947715832568,0.9061953456020369,0.9648293905007465,0.9968450983490681,0.960307557687041,1.0,0.5454545454545453,0.0010430509664040041,4.41016363160744,0.7923444735113826,0.8777397911116934,0.966282029861744,0.8870732207389014,0.6131471927654585,0.5454545454545453,0.0008496508909873437,1.0009441331864395,1.0,0.0,0.0,0.0,0.0,0.0,0.0009441331864393987,1.000735177726894,1.0,0.0,0.0,0.0,0.0,0.0,0.0007351777268939512
3,0.01,0.08,0.4928294999990612,ok,3x3x3x3,5.1424588187936,3x3x9,4.671760990894835,,5.1424588187936,0.7874472653366268,0.9664971575623205,0.9796085507085066,0.9087340337313417,1.0,1.0,0.00017181145480361272,4.671760990894835,0.846002662451318,0.8485195994037622,0.9843154476641621,0.8795440872146205,0.6131471927654585,1.0,0.0002320013955137954,1.000241497830529,1.0,0.0,0.0,0.0,0.0,0.0,0.00024149783052891392,1.0003871775052593,1.0,0.0,0.0,0.0,0.0,0.0,0.0003871775052593229
3,0.01,0.12,0.48717089999991003,ok,3x3x3x3,5.151082858698057,3x3x9,4.719539316756235,,5.151082858698057,0.7944216702081651,0.9662592670089327,0.9812667905450112,0.9089622154942186,1.0,1.0,0.00017291544172942696,4.719539316756235,0.863660797730094,0.8615906797128989,0.9869756684472182,0.8939329680204715,0.6131471927654585,1.0,0.00023201008009393154,1.0002332883181997,1.0,0.0,0.0,0.0,0.0,0.0,0.0002332883181997419,1.0003872096222877,1.0,0.0,0.0,0.0,0.0,0.0,0.0003872096222877666
3,0.01,0.25,0.4920456000036211,ok,3x3x3x3,5.163754790724728,3x3x9,4.590671988350286,,5.163754790724728,0.8059454959852161,0.9657452882526577,0.983471413779857,0.9084196803270369,1.0,1.0,0.0001729123799610095,4.590671988350286,0.8789728061987785,0.8782397319765408,0.9901460105433622,0.911752376861434,0.6131471927654585,0.6363636363636365,0.00023205182289278486,1.000198873981461,1.0,0.0,0.0,0.0,0.0,0.0,0.00019887398146086244,1.0003873562668744,1.0,0.0,0.0,0.0,0.0,0.0,0.0003873562668742832
3,0.01,0.5,0.49300139999832027,ok,3x3x3x3,5.156039041720447,3x3x9,4.555552349654363,,5.156039041720447,0.798784105029721,0.9660396220339419,0.9823503334542184,0.9086925114124065,1.0,1.0,0.00017246979016002746,4.555552349654363,0.8720432454459602,0.8631547380216854,0.9881321715454838,0.9006611414823594,0.6131471927654585,0.6363636363636365,0.00023204221159727617,1.0001588145518157,1.0,0.0,0.0,0.0,0.0,0.0,0.0001588145518156592,1.0003872864579242,1.0,0.0,0.0,0.0,0.0,0.0,0.0003872864579242878
3,0.02,0.08,0.4884892999980366,ok,3x3x3x3,5.201553782995643,3x3x9,4.651284359043963,,5.201553782995643,0.8195616080634994,0.9660579410521097,0.9863075767980777,0.9292736253844015,1.0,1.0,0.0003530316975544496,4.651284359043963,0.840685946701074,0.8466980764108318,0.9837806036586496,0.8664995000319322,0.6131471927654585,1.0,0.00047303947601671,1.0004933550718593,1.0,0.0,0.0,0.0,0.0,0.0,0.0004933550718592881,1.0007846428258238,1.0,0.0,0.0,0.0,0.0,0.0,0.0007846428258237909
3,0.02,0.12,0.5022566999978153,ok,3x3x3x3,5.209782476367473,3x3x9,4.69254401555286,,5.209782476367473,0.8268168914270919,0.9657684925626314,0.9875941521440276,0.9292477703728751,1.0,1.0,0.0003551698608474008,4.69254401555286,0.8531378212146571,0.859546927910364,0.9860342712202104,0.8802047272892178,0.6131471927654585,1.0,0.00047307515295246465,1.0004766771419462,1.0,0.0,0.0,0.0,0.0,0.0,0.000476677141946243,1.0007847729052648,1.0,0.0,0.0,0.0,0.0,0.0,0.0007847729052647307
3,0.02,0.25,0.4942919999957667,ok,3x3x3x3,5.221251371111705,3x3x9,4.558742448809911,,5.221251371111705,0.837951601960559,0.9651573059981323,0.9892080448425439,0.9285793591926059,1.0,1.0,0.0003550591178634683,4.558742448809911,0.8646819599611498,0.8761134556488408,0.9886307128461073,0.8975140662039739,0.6131471927654585,0.6363636363636365,0.00047324320256173435,1.000406882342651,1.0,0.0,0.0,0.0,0.0,0.0,0.0004068823426510133,1.0007853680058825,1.0,0.0,0.0,0.0,0.0,0.0,0.000785368005882362
3,0.02,0.5,0.4908806999956141,ok,3x3x3x3,5.213117686514389,3x3x9,4.522700204919706,,5.213117686514389,0.8301487330569831,0.9655146958806827,0.9881769106443763,0.9289230740615061,1.0,1.0,0.00035427287084049074,4.522700204919706,0.8579695018593174,0.8612173135496065,0.9866257021829307,0.8850854712676474,0.6131471927654585,0.6363636363636365,0.0004732051129274719,1.0003258855219748,1.0,0.0,0.0,0.0,0.0,0.0,0.00032588552197483774,1.000785085319077,1.0,0.0,0.0,0.0,0.0,0.0,0.0007850853190769217
3,0.05,0.08,0.4944755999968038,ok,3x3x3x3,5.2487340734532015,3x3x9,4.611458940935231,,5.2487340734532015,0.8459699682826642,0.9652271058129791,0.9905459934080313,0.9460339595533553,1.0,1.0,0.0009570463961716358,4.611458940935231,0.8216172677205562,0.8429544245570854,0.9788119743870584,0.8536741076763428,0.6131471927654585,1.0,0.001253973828730117,1.0013135193888043,1.0,0.0,0.0,0.0,0.0,0.0,0.0013135193888043001,1.0020448197516436,1.0,0.0,0.0,0.0,0.0,0.0,0.002044819751643651
3,0.05,0.12,0.48739449999993667,ok,3x3x3x3,5.256534919622954,3x3x9,4.646793868021891,,5.256534919622954,0.8534520608483057,0.9648178163428208,0.9915691107539019,0.9457341107417864,1.0,1.0,0.0009618209361389675,4.646793868021891,0.82968030096414,0.8554039320390583,0.9807052915021384,0.8666029466586177,0.6131471927654585,1.0,0.0012542040924783664,1.0012698332623104,1.0,0.0,0.0,0.0,0.0,0.0,0.0012698332623104506,1.0020456292971842,1.0,0.0,0.0,0.0,0.0,0.0,0.002045629297184137
3,0.05,0.25,0.4913293999998132,ok,3x3x3x3,5.266100867716359,3x3x9,4.509163569052484,,5.266100867716359,0.8635950211184459,0.9639936203772403,0.9927339973655738,0.9448175352672471,1.0,1.0,0.0009606935878521932,4.509163569052484,0.8381945831461411,0.8719735669093102,0.9828442857766625,0.8835668466284957,0.6131471927654585,0.6363636363636365,0.0012552756445974264,1.0010878285469251,1.0,0.0,0.0,0.0,0.0,0.0,0.00108782854692524,1.002049519682785,1.0,0.0,0.0,0.0,0.0,0.0,0.0020495196827849367
3,0.05,0.5,0.5013269999981276,ok,3x3x3x3,5.257829238044999,3x3x9,4.472624968601141,,5.257829238044999,0.8552629979190013,0.9644966631262498,0.9917689921490552,0.9453409566725792,1.0,1.0,0.0009596281781133589,4.472624968601141,0.831581205164569,0.8573667570708611,0.9809185464390722,0.8701743734381613,0.6131471927654585,0.6363636363636365,0.0012550755412003625,1.000878713691532,1.0,0.0,0.0,0.0,0.0,0.0,0.0008787136915319741,1.0020477776063088,1.0,0.0,0.0,0.0,0.0,0.0,0.0020477776063088445
4,0.01,0.08,0.49142920000304,ok,3x3x3x3,5.281093382865628,3x3x9,4.621487001007704,,5.281093382865628,0.8669465181730882,0.9723003299824093,0.9934173224247672,0.9482619178518236,1.0,1.0,0.00016729443354022804,4.621487001007704,0.8034518758783377,0.8786085547603626,0.970087251836804,0.901519343145226,0.6131471927654585,0.909090909090909,0.00012732807606180276,1.0000709080075678,1.0,0.0,0.0,0.0,0.0,0.0,7.090800756787109e-05,1.0001603300656943,1.0,0.0,0.0,0.0,0.0,0.0,0.00016033006569426595
4,0.01,0.12,0.4899948000020231,ok,3x3x3x3,5.291085471060672,3x3x9,4.623284654747291,,5.291085471060672,0.8711430280371032,0.9764189413038153,0.9938897189773293,0.9494636021105919,1.0,1.0,0.0001701806318315559,4.623284654747291,0.8040396056874798,0.8782533491340707,0.970327127253836,0.9028457630625312,0.6131471927654585,0.909090909090909,0.00012616229846075004,1.0000719413410908,1.0,0.0,0.0,0.0,0.0,0.0,7.194134109076805e-05,1.000160320975018,1.0,0.0,0.0,0.0,0.0,0.0,0.00016032097501805974
4,0.01,0.25,0.4902483999976539,ok,3x3x3x3,5.290887567701473,3x3x9,4.48945996696861,,5.290887567701473,0.8698466812238703,0.9774972143554514,0.9936380162794982,0.9497346820711408,1.0,1.0,0.0001709737715119511,4.48945996696861,0.8044825840163768,0.8799433175056207,0.9706445130816554,0.9029356871779288,0.6131471927654585,0.6363636363636365,0.00012485423975128142,1.000086326629348,1.0,0.0,0.0,0.0,0.0,0.0,8.632662934814158e-05,1.000160311182892,1.0,0.0,0.0,0.0,0.0,0.0,0.0001603111828920685
4,0.01,0.5,0.4927760999999009,ok,3x3x3x3,5.180740789925846,3x3x9,4.445556479284648,,5.180740789925846,0.8581665736855716,0.9742485511395365,0.9921177360431082,0.9469472642203715,1.0,0.8181818181818182,0.00016975574634878521,4.445556479284648,0.8048816570247296,0.8809517916608918,0.9706341023929291,0.9030906954532782,0.6131471927654585,0.5454545454545453,0.00012376726008911062,1.000107346012687,1.0,0.0,0.0,0.0,0.0,0.0,0.00010734601268699058,1.0001603353361732,1.0,0.0,0.0,0.0,0.0,0.0,0.00016033533617315187
4,0.02,0.08,0.49538579999352805,ok,3x3x3x3,5.2838085666519525,3x3x9,4.584399979571764,,5.2838085666519525,0.8947147797209034,0.9716712037141516,0.9960935399884424,0.96643789870849,1.0,0.909090909090909,0.00034568997451133853,4.584399979571764,0.7819649798961332,0.8759481994508971,0.9611581963178589,0.8973710873772031,0.6131471927654585,0.909090909090909,0.00026486921875922134,1.000151184178181,1.0,0.0,0.0,0.0,0.0,0.0,0.00015118417818089683,1.0003304767885088,1.0,0.0,0.0,0.0,0.0,0.0,0.00033047678850886623
