t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
8168,25,6,19,0,0,0,0.01843696145745001,0.018210921126703247,0.00022604033074676358,0.014951627088830253,0.019318119630055273,-0.004366492541225021,0.15043290043290045,6.352059498515684,0.00012686308634445275,0.9991546065167207
8169,22,2,20,1,0,1,0.018435952843349108,0.018215232708752943,0.0002207201345961647,0.014961496149614959,0.019367545683335156,-0.004406049533720197,0.15043290043290045,6.350252998716958,0.0001650121129758472,1.0051540333617963
8170,27,0,27,0,0,0,0.018435952843349108,0.018211898078461686,0.00022405476488742207,0.014968082764692931,0.01930333023459288,-0.004335247469899949,0.15043290043290045,6.348534029109552,0.00021746892860487446,1.011148821924733
8171,21,2,19,0,0,0,0.01843494433959684,0.01820955221856886,0.00022539212102797718,0.014994487320837925,0.0193043858689708,-0.004309898548132874,0.15043290043290045,6.346891944605829,0.00026886977024466355,1.0171335773004604
8172,16,3,13,1,0,1,0.018433431790832514,0.018214726338480727,0.00021870545235178757,0.014991181657848322,0.019314948566425915,-0.004323766908577593,0.15043290043290045,6.345347860917451,0.0003221150375224745,1.0231029136130991
8173,17,6,11,0,0,0,0.01843040743779054,0.018213368219129798,0.00021703921866074102,0.014997794441993822,0.01927605279009912,-0.004278258348105298,0.15043290043290045,6.3438910952957315,0.00037422158669328986,1.029051458862886
8174,21,5,16,0,0,0,0.018427887901572113,0.01821139313429801,0.000216494767274103,0.014994487320837925,0.01927710843373494,-0.004282621112897017,0.15043290043290045,6.342521464564163,0.00042612142504577636,1.0349738597606108
8175,21,6,15,1,0,1,0.01842486536726716,0.018216318785578747,0.00020854658168841314,0.014997794441993822,0.019335049570027935,-0.004337255128034113,0.15043290043290045,6.341239044921341,0.00047779905396342655,1.040864786545216
8176,22,3,19,0,0,0,0.018423354471900286,0.01821397353281971,0.00020938093908057578,0.015004413062665487,0.01933399057947201,-0.004329577516806524,0.15043290043290045,6.34003435513451,0.0005283302332308661,1.0467189377802206
8177,28,5,23,0,0,0,0.018420836863538223,0.018211135350469507,0.00020970151306871562,0.014994487320837925,0.019332931704912647,-0.004338444384074722,0.15043290043290045,6.338915536819486,0.0005793072180614824,1.0525310451246568
8178,19,3,16,1,0,1,0.018419326628771316,0.018215935725995475,0.0002033909027758414,0.014997794441993822,0.019388761091028592,-0.00439096664903477,0.15043290043290045,6.33789007002381,0.0006306303584425945,1.05829587807422
