t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
14603,15,5,10,0,0,0,0.017887327846592957,0.017843345475029592,4.398237156336485e-05,0.01872201872201872,0.01766101882002318,0.0010609999019955407,0.15043290043290045,6.436427295781126,0.0018516378081234873,1.0
14604,31,8,23,0,0,0,0.017885345376963787,0.01784178356942235,4.3561807541437486e-05,0.018706791378609186,0.017657120785741876,0.0010496705928673099,0.15043290043290045,6.437550647011661,0.0018597445751114387,1.0
14605,27,6,21,0,0,0,0.01788385881309913,0.017840357720483303,4.3501092615826076e-05,0.018695387116439744,0.0175990290190886,0.0010963580973511432,0.15043290043290045,6.438673205138345,0.0018651628902386825,1.0
14606,26,8,18,0,0,0,0.01788187711230539,0.017839135745624884,4.274136668050779e-05,0.018699186991869916,0.017544827586206898,0.0011543594056630177,0.15043290043290045,6.439803649722888,0.0018699632455357511,1.0
14607,14,4,10,0,0,0,0.017880886426592798,0.017838456943033376,4.242948355942175e-05,0.018683996750609257,0.01750027602959037,0.0011837207210188862,0.15043290043290045,6.440937730089296,0.0018725727181802974,1.0
14608,22,5,17,0,0,0,0.017879648223807217,0.017837303097176776,4.234512663044143e-05,0.018687791996749945,0.017452778084612836,0.001235013912137109,0.15043290043290045,6.442080880141351,0.0018743972188426012,1.0
14609,19,3,16,0,0,0,0.017878905384444938,0.017836217260953597,4.268812349134121e-05,0.018699186991869916,0.017402353461134744,0.0012968335307351718,0.15043290043290045,6.443227582059165,0.0018747339054219967,1.0
14610,24,8,16,1,0,1,0.01787692478121192,0.0178389359791822,3.798880202971963e-05,0.018687791996749945,0.0174614577001713,0.0012263342965786461,0.15043290043290045,6.444375922078277,0.0018734940785165607,1.0
14611,23,5,18,1,1,0,0.017889533515182566,0.017837714459618823,5.1819055563742666e-05,0.018890920170627663,0.017454706142288997,0.0014362140283386664,0.15043290043290045,6.445530979488481,0.0018713747511256975,1.0
14612,27,4,23,0,0,0,0.017888542748355832,0.017836153872488048,5.2388875867784984e-05,0.018898597845966262,0.01745181421549677,0.0014467836304694927,0.15043290043290045,6.446676194427312,0.001866303701422988,1.0
14613,24,7,17,0,0,0,0.017886809170450768,0.017835000570537447,5.180859991332082e-05,0.018890920170627663,0.017403314917127072,0.0014876052535005915,0.15043290043290045,6.447802602995875,0.001858979870123131,1.0
14614,23,6,17,0,0,0,0.01788532351394003,0.01783384741772431,5.1476096215721107e-05,0.018879415347137635,0.01740619992263911,0.001473215424498523,0.15043290043290045,6.4489343584304155,0.0018526444653205194,1.0
14615,34,7,27,1,0,1,0.01788359055990034,0.017835819192710513,4.777136718982569e-05,0.018867924528301883,0.017452778084612836,0.0014151464436890464,0.15043290043290045,6.450024132766951,0.0018408418272907916,1.0
14616,20,3,17,1,0,1,0.017882847968109843,0.017838468880599003,4.437908751083949e-05,0.018867924528301883,0.017455670330884385,0.0014122541974174972,0.15043290043290045,6.451089584624891,0.0018290651871062402,1.0
14617,37,6,31,0,0,0,0.017881362969524178,0.017836366263374422,4.499670614975526e-05,0.01886409736308316,0.017442181376607607,0.0014219159864755533,0.15043290043290045,6.452132410282959,0.0018164223449393016,1.0
14618,24,5,19,0,0,0,0.017880125659087448,0.01783507780747545,4.504785161199912e-05,0.018844984802431606,0.017386984600099353,0.0014580002023322526,0.15043290043290045,6.4531448629350505,0.0018018197447969282,1.0
14619,22,7,15,0,0,0,0.017878393712119117,0.017834060736933346,4.4332975185770035e-05,0.018833535844471443,0.017337529678096184,0.0014960061663752584,0.15043290043290045,6.454112203554879,0.0017843922689766176,1.0
14620,27,8,19,1,0,1,0.01787641475496029,0.017836574100473283,3.984065448700558e-05,0.01881067961165048,0.01739178445229682,0.001418895159353662,0.15043290043290045,6.4550828328925,0.0017699019217375287,1.0
14621,21,6,15,1,1,0,0.017888765910348645,0.017835557076063404,5.320883428524062e-05,0.019012944983818766,0.01739178445229682,0.001621160531521948,0.15043290043290045,6.4560236137799505,0.0017514757356717234,1.0
14622,24,2,22,2,1,1,0.01790210564179187,0.01783786660179709,6.423903999478245e-05,0.01922298664508296,0.017446033235797492,0.0017769534092854679,0.15043290043290045,6.45691440959285,0.001729941799854612,1.0
14623,29,11,18,3,2,1,0.017927046878674285,0.017840446961346967,8.659991732731798e-05,0.01960388035569927,0.017498344005299184,0.0021055363504000855,0.15043290043290045,6.45775520136411,0.0017073566866366054,1.0
14624,21,5,16,0,0,0,0.01792580707626767,0.01783936213069024,8.644494557743035e-05,0.019595959595959594,0.017443144181938618,0.002152815414020976,0.15043290043290045,6.458570468730878,0.0016852159499515897,1.0
14625,23,5,18,1,1,0,0.01793839813009142,0.017838141853889884,0.00010025627620153729,0.019797979797979794,0.017442181376607607,0.0023557984213721864,0.15043290043290045,6.459350795283648,0.001661339303734699,1.0
14626,24,4,20,0,0,0,0.017937405783672398,0.017836786186560472,0.00010061959711192558,0.019809985850010103,0.017435444714191128,0.002374541135818975,0.15043290043290045,6.460065545418591,0.0016338363119899227,1.0
14627,28,7,21,0,0,0,0.017935669441601902,0.017835362957615366,0.00010030648398653627,0.019809985850010103,0.01738122827346466,0.0024287575765454435,0.15043290043290045,6.460719647879941,0.001605533372998021,1.0
