t,total_subsystems,site_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
234,2616,936,1680,840,1.794871794871795,4146.261901886544,5.162892463041365,83.74059286848096,11.177374889977644,0.0,0.0,1.0,68,8,0,60,0,5,500,0
235,2643,947,1696,848,1.7909186906019008,4189.055889406016,5.390871720284482,91.29938831929019,10.37246817786087,0.0,0.0,1.0,84,11,0,73,0,6,500,2
236,2660,954,1706,853,1.7882599580712788,4216.000251918275,5.390871720284482,91.29938831929019,10.449139009165018,0.0,0.0,1.0,74,7,0,67,0,4,500,1
237,2691,963,1728,864,1.794392523364486,4265.134089440631,5.530530843278818,96.09117635384297,10.021731823262114,0.0,0.0,1.0,82,9,0,73,0,7,500,4
238,2714,972,1742,871,1.7921810699588476,4301.588226957218,5.530530843278818,96.09117635384297,10.11539286833933,0.0,0.0,1.0,79,9,0,70,0,6,500,1
239,2738,980,1758,879,1.7938775510204081,4339.627326974525,5.530530843278818,96.09117635384297,10.198647130630189,0.0,0.0,1.0,73,8,0,65,0,7,500,1
240,2772,992,1780,890,1.7943548387096775,4393.516051999045,5.530530843278818,96.09117635384297,10.323528524066477,0.0,0.0,1.0,73,12,0,61,0,11,500,0
241,2787,997,1790,895,1.7953861584754263,4417.290489509862,5.530530843278818,96.09117635384297,10.375562437998264,0.0,0.0,1.0,82,5,0,77,0,4,500,1
242,2830,1012,1818,909,1.7964426877470356,4485.443877040872,5.821924686751293,106.4836768488976,9.503804056616561,0.0,0.0,1.0,77,15,0,62,0,12,500,2
243,2856,1022,1834,917,1.7945205479452055,4526.652902059622,5.821924686751293,106.4836768488976,9.59771516389538,0.0,0.0,1.0,64,10,0,54,0,8,500,0
244,2884,1032,1852,926,1.7945736434108528,4571.031852079815,5.821924686751293,106.4836768488976,9.6916262711742,0.0,0.0,1.0,72,10,0,62,0,8,500,1
245,2902,1040,1862,931,1.7903846153846155,4599.561177092795,5.821924686751293,106.4836768488976,9.766755156997256,0.0,0.0,1.0,65,8,0,57,0,4,500,1
246,2920,1046,1874,937,1.7915869980879542,4628.090502105775,5.821924686751293,106.4836768488976,9.823101821364547,0.0,0.0,1.0,68,6,0,62,0,5,500,1
247,2955,1059,1896,948,1.7903682719546743,4683.564189631016,5.821924686751293,106.4836768488976,9.945186260827013,0.0,0.0,1.0,77,13,0,64,0,10,500,1
248,2976,1068,1908,954,1.7865168539325842,4716.84840214616,5.821924686751293,106.4836768488976,10.029706257377951,0.0,0.0,1.0,85,9,0,76,0,6,500,0
249,2990,1074,1916,958,1.7839851024208566,4739.037877156257,5.821924686751293,106.4836768488976,10.086052921745244,0.0,0.0,1.0,75,6,0,69,0,4,500,0
250,3015,1083,1932,966,1.7839335180055402,4778.661939674286,5.821924686751293,106.4836768488976,10.170572918296182,0.0,0.0,1.0,67,9,0,58,0,7,500,1
251,3042,1092,1950,975,1.7857142857142858,4821.455927193757,5.821924686751293,106.4836768488976,10.255092914847118,0.0,0.0,1.0,79,9,0,70,0,8,500,1
252,3071,1103,1968,984,1.7842248413417952,4867.41983971467,5.821924686751293,106.4836768488976,10.35839513285382,0.0,0.0,1.0,88,11,0,77,0,8,500,1
253,3088,1110,1978,989,1.781981981981982,4894.3642022269305,5.821924686751293,106.4836768488976,10.424132907948994,0.0,0.0,1.0,81,7,0,74,0,5,500,0
254,3106,1118,1988,994,1.778175313059034,4922.89352723991,5.821924686751293,106.4836768488976,10.49926179377205,0.0,0.0,1.0,76,8,0,68,0,5,500,0
255,3130,1126,2004,1002,1.7797513321492007,4960.932627257218,5.821924686751293,106.4836768488976,10.574390679595107,0.0,0.0,1.0,78,8,0,70,0,8,500,0
256,3152,1134,2018,1009,1.779541446208113,4995.801802273084,5.821924686751293,106.4836768488976,10.649519565418162,0.0,0.0,1.0,84,8,0,76,0,6,500,1
257,3164,1138,2026,1013,1.7803163444639718,5014.821352281738,5.821924686751293,106.4836768488976,10.68708400832969,0.0,0.0,1.0,74,4,0,70,0,3,500,1
258,3187,1147,2040,1020,1.7785527462946817,5051.275489798325,5.821924686751293,106.4836768488976,10.771604004880627,0.0,0.0,1.0,73,9,0,64,0,5,500,2
259,3210,1158,2052,1026,1.7720207253886011,5087.729627314911,5.91076705710795,109.75834782341637,10.550450357206877,0.0,0.0,1.0,85,11,0,74,0,5,500,1
260,3248,1170,2078,1039,1.776068376068376,5147.9582023423145,5.91076705710795,109.75834782341637,10.659781448991405,0.0,0.0,1.0,85,12,0,73,0,11,500,2
