t,mean_deg,locked_frac,S95,peaks,L_flow,P_press,g_flow,top10_flow,g_mem,top10_mem,dim_est
335,6.578125,0.03800475059382423,361,0,0.04555946522434481,0.00012620350477657842,0.726659378063755,0.21547624706016882,0.13021800280721732,0.018682805089996993,1.883647680345021
336,6.578125,0.03800475059382423,361,0,0.042512047816400736,0.0001177619053085893,0.7142055679954944,0.2068955086442913,0.1302929395234221,0.01866950387636522,1.883647680345021
337,6.526041666666667,0.03830806065442937,362,0,0.03984182014115288,0.00011006027663301901,0.7021225055843128,0.19876109531185243,0.13145509341711278,0.018791316972361118,1.883647680345021
338,6.526041666666667,0.03830806065442937,362,0,0.03698419928097053,0.00010216629635627217,0.6948789141158441,0.19358824762343518,0.13150996701645756,0.018779594637046305,1.883647680345021
339,6.526041666666667,0.03830806065442937,362,0,0.03443469253559786,9.512346004308802e-05,0.6880058457204506,0.18867134171591138,0.13155991389850835,0.018768688646648796,1.883647680345021
340,6.526041666666667,0.03830806065442937,362,0,0.03211381623645429,8.871219954821628e-05,0.6812297506180599,0.1841586019649263,0.13160525212172275,0.018758523697102254,1.802682606978427
341,6.526041666666667,0.03830806065442937,362,0,0.029980449602312817,8.281892155335032e-05,0.674724170781708,0.1800660542578166,0.13164613189991808,0.018749039456823602,1.802682606978427
342,6.526041666666667,0.03830806065442937,362,0,0.028002964004952863,7.735625415732834e-05,0.6689716385009368,0.1764067674139576,0.13168293712759463,0.01874018622041547,1.802682606978427
343,6.484375,0.03855421686746988,362,0,0.026443585080769796,7.304857757118728e-05,0.6643024441771704,0.17131409016359797,0.13289891144027827,0.018845525213639643,1.802682606978427
344,6.484375,0.03855421686746988,363,0,0.024491154019618648,6.746874385569876e-05,0.6610669144250118,0.16996797114768686,0.1329248603520273,0.01883769473866351,1.802682606978427
345,6.484375,0.03855421686746988,363,0,0.02283317438729448,6.29013068520509e-05,0.6569941510745491,0.16786404838464544,0.13294939421678603,0.01883040144257105,1.802682606978427
346,6.484375,0.03855421686746988,363,0,0.021329115818970276,5.8757894818099934e-05,0.6534179584502682,0.16572164616382118,0.13297194848449484,0.018823594461001472,1.802682606978427
347,6.484375,0.03855421686746988,363,0,0.01994617730679704,5.494814685068056e-05,0.6501029854880579,0.16365620624133165,0.13299249377257227,0.018817234231501518,1.802682606978427
348,6.484375,0.03855421686746988,363,0,0.018666163857462316,5.1421939001273595e-05,0.6470657489214863,0.16170800498316523,0.13301108628188046,0.01881128732052496,1.802682606978427
