t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
11318,24,4,20,3,0,3,0.01819258089976322,0.018285602293049805,-9.302139328658601e-05,0.016872890888638917,0.019273494778938013,-0.002400603890299096,0.15043290043290045,6.421505827304034,0.00054038540380438,1.049091850948178
11319,25,5,20,1,0,1,0.01819078622866726,0.018288709795948363,-9.79235672811038e-05,0.016880486158001348,0.01932367149758454,-0.002443185339583192,0.15043290043290045,6.420411608157363,0.0005911976292354218,1.0548853302961447
11320,23,5,18,0,0,0,0.01818899191161965,0.018287097137650452,-9.810522603080282e-05,0.016880486158001348,0.019319380447454616,-0.0024388942894532674,0.15043290043290045,6.419391095633108,0.0006406003941071035,1.0606294165514825
11321,35,8,27,0,0,0,0.018186121740502582,0.01828467868338558,-9.855694288299702e-05,0.016869095816464234,0.019306518723994453,-0.0024374229075302192,0.15043290043290045,6.418428684390025,0.0006884487463948915,1.0663189404242976
11322,23,4,19,0,0,0,0.018184686994595873,0.018282977191581895,-9.829019698602212e-05,0.016876687668766873,0.019196626719928982,-0.0023199390511621093,0.15043290043290045,6.417554685443174,0.0007380625779654927,1.0719487817271145
11323,20,5,15,0,0,0,0.018182893880529315,0.018281634132246784,-9.874025171746972e-05,0.016647919010123732,0.019195561719833564,-0.002547642709709832,0.15043290043290045,6.416772154025144,0.0007876194619241974,1.0775138739827845
11324,24,6,18,0,0,0,0.018180742610376038,0.018280022721485514,-9.928011110947599e-05,0.01664417453891138,0.019189174199988907,-0.0025449996610775287,0.15043290043290045,6.416076640127369,0.0008365642347662329,1.0830092089838892
11325,23,2,21,1,1,0,0.018199743665582174,0.018278143101261794,-7.839943567962068e-05,0.016888088268408014,0.019130531218808918,-0.0022424429504009045,0.15043290043290045,6.415480034595045,0.0008855659433025253,1.088429841299872
11326,24,5,19,1,1,0,0.018217665615141956,0.01827644282552925,-5.877721038729383e-05,0.017124831004957184,0.01908037051417161,-0.0019555395092144268,0.15043290043290045,6.414964420231266,0.0009323451027581243,1.0937708927275103
11327,24,7,17,0,0,0,0.018215151694363947,0.018274921794300653,-5.97700999367054e-05,0.017128690556682438,0.01908142888839583,-0.0019527383317133919,0.15043290043290045,6.414525673109535,0.0009786125273175109,1.099027556681049
11328,21,3,18,0,0,0,0.018214074512123004,0.01827331156657056,-5.923705444755775e-05,0.01713255184851217,0.019074022733573608,-0.001941470885061438,0.15043290043290045,6.414175365556986,0.0010251231806727432,1.1041951025177246
11329,25,2,23,1,0,1,0.01821335646140503,0.018276148989280993,-6.279252787596418e-05,0.017140279657194404,0.01911781004100632,-0.0019775303838119145,0.15043290043290045,6.4138969993272505,0.0010692804210900965,1.1092688797951022
11330,22,5,17,0,0,0,0.018211561582277234,0.01827462841425754,-6.30668319803046e-05,0.017144146176404237,0.019064508978053646,-0.0019203628016494084,0.15043290043290045,6.413685455267585,0.0011123931263915773,1.1142443224560827
11331,25,5,20,0,0,0,0.01820976705687596,0.018272839826373767,-6.307276949780657e-05,0.01714801444043321,0.019062396098858472,-0.001914381658425262,0.15043290043290045,6.413540878372929,0.0011547479527112534,1.1191169529381226
11332,29,5,24,0,0,0,0.018207972885096655,0.0182706939830015,-6.272109790484565e-05,0.017159629713253553,0.019048673791461322,-0.0018890440782077696,0.15043290043290045,6.413489948506601,0.0011985822440080355,1.1238823862026623
11333,37,14,23,0,0,0,0.018202951084494,0.018268638022642544,-6.568693814854379e-05,0.017124831004957184,0.01904656442057472,-0.0019217334156175353,0.15043290043290045,6.413505262287173,0.0012391918937673047,1.1285363336814387
11334,20,6,14,0,0,0,0.018200799732109443,0.018267386795037376,-6.65870629279336e-05,0.017128690556682438,0.019055004708358723,-0.0019263141516762845,0.15043290043290045,6.413578246366877,0.0012785295253203008,1.133074607135835
11335,20,4,16,0,0,0,0.018199365779677373,0.01826595703048566,-6.659125080828512e-05,0.017120973192160393,0.019003822926477922,-0.0018828497343175293,0.15043290043290045,6.413711265977417,0.0013169593774914673,1.1374931224260845
11336,19,5,14,0,0,0,0.018197573656845753,0.018264706170085795,-6.713251324004174e-05,0.01713255184851217,0.01900698215671063,-0.0018744303081984597,0.15043290043290045,6.413911354266518,0.0013548312726507038,1.1417879031866494
11337,17,4,13,2,1,1,0.018215833005120127,0.01826843595776005,-5.2602952639924094e-05,0.017365809652683802,0.019064508978053646,-0.0016986993253698436,0.15043290043290045,6.414173683565414,0.001391442643032543,1.1459550844047506
11338,22,3,19,1,0,1,0.0182147569068389,0.01827162908984203,-5.687218300312949e-05,0.017365809652683802,0.019010142437510393,-0.001644332784826591,0.15043290043290045,6.414498477463987,0.0014271803719431888,1.1499909158985524
11339,24,5,19,0,0,0,0.01821296369221076,0.018269931389952514,-5.696769774175478e-05,0.0173618940248027,0.019001717356379146,-0.0016398233315764454,0.15043290043290045,6.414868970515139,0.0014604954249768836,1.1538917656921288
11340,18,5,13,1,0,1,0.018211170830626268,0.018273659915306453,-6.248908468018538e-05,0.01737364620938628,0.019062396098858472,-0.0016887498894721936,0.15043290043290045,6.415287672602329,0.001493008840160465,1.1576541232839723
11341,31,6,25,0,0,0,0.01820901986259572,0.018271426266458706,-6.240640386298568e-05,0.017365809652683802,0.01905183872396987,-0.0016860290712860694,0.15043290043290045,6.4157458991249445,0.0015239857741488258,1.161274602806187
11342,26,3,23,2,1,1,0.018227628833510492,0.018274260571987288,-4.663173847679544e-05,0.017587373167981958,0.01904234707998893,-0.0014549739120069717,0.15043290043290045,6.41624794770865,0.0015539772608648488,1.1647499460715922
11343,26,6,20,1,1,0,0.01824515824279641,0.01827247396979029,-2.731572699388174e-05,0.017800811176205494,0.019036024569752643,-0.0012352133935471486,0.15043290043290045,6.416802125293098,0.0015833988050728985,1.1680770255058142
11344,20,6,14,0,0,0,0.01824300389656394,0.01827122355609432,-2.8219659530381164e-05,0.01780883678990081,0.018981737686773657,-0.0011729008968728478,0.15043290043290045,6.417443502023235,0.0016147730420699683,1.171252846961946
11345,19,6,13,1,1,0,0.01826052735143644,0.01827006261088872,-9.535259452280592e-06,0.018030200585981516,0.018986991419872683,-0.000956790833891167,0.15043290043290045,6.418133341208687,0.0016417696173493088,1.1742745524150267
11346,26,8,18,2,0,2,0.018257653261981584,0.018278229846296703,-2.057658431511844e-05,0.018022077044379362,0.01904023910997952,-0.0010181620656001568,0.15043290043290045,6.418841311931035,0.0016649399420192853,1.1771394225341185
11347,26,4,22,0,0,0,0.01825621655649984,0.018276264800598133,-2.0048244098291867e-05,0.018013960819635213,0.019037078029883785,-0.0010231172102485725,0.15043290043290045,6.419618737236548,0.0016913673128761382,1.1798448791294769
11348,26,4,22,0,0,0,0.01825478007711071,0.018274300177368207,-1.9520100257498785e-05,0.018005851901868104,0.01902654867256637,-0.0010206967706982671,0.15043290043290045,6.420445565490518,0.0017148327150082047,1.1823884874727888
11349,34,5,29,0,0,0,0.018252984795735724,0.01827171109200344,-1.872629626771538e-05,0.01802613789995493,0.018955512572533847,-0.0009293746725789163,0.15043290043290045,6.42131423631984,0.001736169329536439,1.1847679584882238
11350,22,4,18,0,0,0,0.018251548824859867,0.01827010444246871,-1.85556176088425e-05,0.018030200585981516,0.018952370427671564,-0.000922169841690048,0.15043290043290045,6.422209955042481,0.0017553246938994498,1.1869811508124872
11351,22,9,13,2,1,1,0.01826798285287293,0.018273829004635624,-5.846151762693014e-06,0.01823502926609635,0.019013928808313065,-0.0007788995422167155,0.15043290043290045,6.423142841035172,0.0017739227822193622,1.1890260727218642
11352,27,11,16,1,0,1,0.018264032242209773,0.01827728527120424,-1.3253028994467814e-05,0.018202247191011232,0.019074473378669764,-0.0008722261876585313,0.15043290043290045,6.424107401690571,0.0017906364009806284,1.1909008839246724
11353,25,6,19,1,0,1,0.018261878083780544,0.018280473153149634,-1.8595069369090056e-05,0.01819407008086253,0.019123417896424032,-0.0009293478155615008,0.15043290043290045,6.425074017922989,0.0018037254406790691,1.192603897217368
11354,20,8,12,0,0,0,0.0182590066628668,0.018279401853823388,-2.039519095658679e-05,0.018173659412160644,0.019127646636077175,-0.000953987223916531,0.15043290043290045,6.426069007710237,0.0018177601199060552,1.1941335800029442
11355,26,10,16,0,0,0,0.018255418656291142,0.018277973650027833,-2.2554993736691176e-05,0.01814516129032258,0.019132935191329352,-0.0009877739010067735,0.15043290043290045,6.427095465638708,0.0018306131208978488,1.1954885556701385
11356,22,7,15,0,0,0,0.01825290789060044,0.018276634911644215,-2.3727021043775526e-05,0.017693169092945125,0.019131877246336745,-0.0014387081533916192,0.15043290043290045,6.428131855609808,0.0018405308885121323,1.1966676048323135
