t,rfront,global_diff
96,5.0,6.249999999995025e-10
97,5.0,6.249999999995298e-10
98,5.0,6.249999999994902e-10
99,5.0,6.249999999995097e-10
100,5.0,6.249999999994745e-10
101,5.0,6.249999999996192e-10
102,5.0,6.249999999995443e-10
103,5.0,6.249999999995947e-10
104,5.0,6.249999999993587e-10
105,5.0,6.24999999999543e-10
106,5.0,6.249999999999259e-10
107,5.0,6.250000000000541e-10
108,5.0,6.249999999998148e-10
109,5.0,6.249999999997865e-10
110,5.0,6.249999999997719e-10
111,5.0,6.249999999998214e-10
112,5.0,6.250000000001055e-10
113,5.0,6.250000000001794e-10
114,5.0,6.250000000001886e-10
115,5.0,6.250000000000838e-10
116,5.0,6.250000000001357e-10
117,5.0,6.25000000000195e-10
118,5.0,6.25000000000331e-10
119,5.0,6.250000000000515e-10
120,5.0,6.250000000000454e-10
121,5.0,6.250000000003348e-10
122,5.0,6.250000000004051e-10
123,5.0,6.25000000000264e-10
124,5.0,6.25000000000265e-10
125,5.0,6.250000000003358e-10
126,5.0,6.250000000005027e-10
127,5.0,6.250000000002791e-10
128,5.0,6.250000000004903e-10
129,5.0,6.250000000003765e-10
130,5.0,6.250000000005753e-10
131,5.0,6.250000000005422e-10
132,5.0,6.250000000004001e-10
133,5.0,6.25000000000697e-10
134,5.0,6.25000000000895e-10
135,5.0,6.250000000008615e-10
136,5.0,6.250000000010029e-10
137,5.0,6.250000000007152e-10
138,5.0,6.250000000008841e-10
139,5.0,6.250000000009466e-10
140,5.0,6.250000000008619e-10
141,5.0,6.250000000008871e-10
142,5.0,6.250000000007474e-10
143,5.0,6.250000000006968e-10
144,5.0,6.250000000006714e-10
145,5.0,6.250000000007612e-10
146,5.0,6.250000000007257e-10
147,5.0,6.250000000006132e-10
148,5.0,6.250000000005168e-10
149,5.0,6.250000000006736e-10
150,5.0,6.250000000005273e-10
151,5.0,6.250000000004578e-10
152,5.0,6.250000000003746e-10
153,5.0,6.250000000000197e-10
154,5.0,6.249999999999185e-10
155,5.0,6.249999999997699e-10
156,5.0,6.249999999996505e-10
157,5.0,6.249999999995469e-10
158,5.0,6.24999999999395e-10
159,5.0,6.24999999999279e-10
