status,seed,pair_scale,perturb_eps,elapsed_sec,winner_candidate,winner_count,strict_episode_count,strongest_episode_length,winner_mi_activation,winner_ccorr_activation,stderr_tail
ok,4,1.0,0.02,14.330371100000775,1,97,0,0,False,False,
ok,4,1.0,0.05,14.61370519999764,1,71,0,0,False,False,
ok,5,0.12,0.01,13.983661499998561,4,90,0,0,False,True,
ok,5,0.12,0.02,12.986510200000339,1,123,0,0,False,False,
ok,5,0.12,0.05,12.841484599997784,1,103,0,0,False,False,
ok,5,0.25,0.01,13.556290600001375,4,90,0,0,False,True,
ok,5,0.25,0.02,12.32641959999819,1,123,0,0,False,False,
ok,5,0.25,0.05,12.573708899999474,1,103,0,0,False,False,
ok,5,0.5,0.01,13.491249600003357,4,90,0,0,False,True,
ok,5,0.5,0.02,13.324095500000112,1,123,0,0,False,False,
ok,5,0.5,0.05,12.569528100000753,1,103,0,0,False,False,
ok,5,1.0,0.01,13.638041999998677,4,90,0,0,False,True,
ok,5,1.0,0.02,13.265876899997238,1,123,0,0,False,False,
ok,5,1.0,0.05,13.236688799999683,1,103,0,0,False,False,
ok,6,0.12,0.01,13.572570500000438,3,263,0,0,False,True,
ok,6,0.12,0.02,13.648754900001222,3,239,0,0,False,True,
ok,6,0.12,0.05,12.86992740000278,3,92,0,0,False,True,
ok,6,0.25,0.01,13.554036999998061,3,263,0,0,False,True,
ok,6,0.25,0.02,12.904192599999078,3,239,0,0,False,True,
ok,6,0.25,0.05,13.342510900001798,3,92,0,0,False,True,
ok,6,0.5,0.01,14.046846000001096,3,263,0,0,False,True,
ok,6,0.5,0.02,12.961102699999174,3,239,0,0,False,True,
ok,6,0.5,0.05,12.891846300000907,3,92,0,0,False,True,
ok,6,1.0,0.01,13.863173800000368,3,263,0,0,False,True,
ok,6,1.0,0.02,12.768935399999464,3,239,0,0,False,True,
ok,6,1.0,0.05,12.682544999999664,3,92,0,0,False,True,
ok,7,0.12,0.01,12.453911500000686,6,216,0,0,False,True,
ok,7,0.12,0.02,12.736824899999192,6,213,0,0,False,True,
ok,7,0.12,0.05,12.647388900000806,4,141,0,0,False,True,
