t,S,L_flow,P,gini_flow,top10_flow,gini_mem,top10_mem,norm
94,329,0.9143455701064731,0.0027791658665850248,0.46609506115005817,0.020257848784205616,0.6524069814381461,0.055718317414834115,1.0000000000000002
95,334,0.9105901868672478,0.002726317924752239,0.46308522041208605,0.020102940537790093,0.6498142862348275,0.05516967402516107,1.0
96,338,0.9067917586955506,0.002682815854128848,0.46012586472903955,0.019955324142135262,0.6472484451867173,0.054633525322804376,1.0
97,343,0.9029513729852069,0.002632511291502061,0.4572160016255741,0.01981080714794468,0.644709373289924,0.054109480757785905,1.0000000000000002
98,347,0.8990701264895054,0.0025909801916124075,0.4543548185951351,0.019669167170178574,0.6421967081862423,0.053597165694961264,0.9999999999999998
99,352,0.8951491237151371,0.0025430372832816396,0.45154079401011327,0.01953245755111277,0.6397102294831671,0.053096220604309304,1.0000000000000002
100,356,0.8911894754110181,0.0025033412230646575,0.44877306530362254,0.019402058566157843,0.6372500615722023,0.05260630030079237,0.9999999999999999
101,361,0.8871922971460872,0.002457596390986391,0.44605014223240047,0.019274211298545146,0.6348157282939136,0.05212707323024378,0.9999999999999999
102,366,0.883158707970576,0.002413001934345836,0.4433714551433902,0.019149598529044343,0.6324069434138391,0.05165822079802742,1.0000000000000002
103,371,0.8790898291556162,0.002369514364300852,0.4407360362394513,0.019030276228327207,0.6300235946320571,0.05119943673747762,0.9999999999999999
104,375,0.8749867830064189,0.0023332980880171167,0.4381433855358923,0.018913093013931504,0.6276655785125992,0.0507504265153656,0.9999999999999999
105,380,0.8708506917446,0.0022917123466963158,0.4355925551924379,0.0187980034221506,0.6253325878086614,0.05031090677185652,1.0
106,385,0.8666826764555338,0.0022511238349494384,0.4330822245234851,0.01868496249197597,0.6230245183095764,0.049880604792620006,1.0000000000000002
107,390,0.8624838560969282,0.0022114970669152006,0.43061199117925264,0.018573925825709714,0.620740983207303,0.04945925801093667,1.0000000000000002
108,394,0.8582553465650827,0.0021783130623479257,0.42818109131155524,0.01846484964077273,0.6184817573945026,0.049046613537809924,1.0000000000000002
109,399,0.8539982598155493,0.0021403465158284446,0.4257887397667354,0.01835769081362063,0.6162468213073249,0.04864242771824203,0.9999999999999999
110,404,0.8497137030351567,0.0021032517401860314,0.42343419824238976,0.018252406916590712,0.614035970884273,0.048246465711972414,1.0000000000000002
111,409,0.8454027778625803,0.0020669994568767247,0.42111654422720335,0.01814895624842298,0.6118490870814809,0.04785850109710247,0.9999999999999998
112,413,0.8410665796548371,0.0020364808224088067,0.4188353264546677,0.018047297859125726,0.6096857961146493,0.04747831549514702,1.0
113,418,0.8367061967972873,0.0020016894660222183,0.4165899847228842,0.017948636162896343,0.6075459345724095,0.04710569821615914,1.0
114,423,0.8323227100548783,0.0019676659812172064,0.4143793173347774,0.01785345306813284,0.605429228502906,0.04674044592267278,0.9999999999999999
