t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
15208,26,5,21,0,0,0,0.018390602314224118,0.017533392144015402,0.0008572101702087158,0.01909959072305593,0.01618284951618285,0.0029167412068730816,0.15081967213114755,6.577981062347372,0.0013059210670100213
15209,23,3,20,0,0,0,0.018389793224813024,0.017532108647831546,0.0008576845769814774,0.019103934500795994,0.01618374951337523,0.002920184987420766,0.15081967213114755,6.578115575938625,0.0013481691772420348
15210,22,5,17,0,0,0,0.01838844490065254,0.017531017823811442,0.0008574270768410969,0.019095248920209133,0.01618194961908469,0.0029132993011244425,0.15081967213114755,6.578301328781579,0.0013868671952675033
15211,25,2,23,0,0,0,0.0183879056263472,0.017529542219115617,0.0008583634072315827,0.019103934500795994,0.016173855046687415,0.0029300794541085792,0.15081967213114755,6.578542816948064,0.0014248198404454588
15212,23,4,19,2,1,1,0.018401489714227063,0.017531982786381333,0.0008695069278457299,0.019335759781619652,0.01622582796176928,0.0031099318198503714,0.15081967213114755,6.578876780294615,0.0014650143380552697
15213,29,8,21,0,0,0,0.018399331466522013,0.01753063561818268,0.000868695848339332,0.019322573312116387,0.016059124249833297,0.00326344906228309,0.15081967213114755,6.579273613648511,0.0015016535167922055
15214,14,1,13,2,0,2,0.018399061721155255,0.017537119565615097,0.0008619421555401581,0.019322573312116387,0.016179250528188593,0.0031433227839277947,0.15081967213114755,6.579717657347691,0.0015359014525770035
15215,23,6,17,2,0,2,0.018397443415034596,0.017543346150891072,0.0008540972641435246,0.019322573312116387,0.016286826014452475,0.0030357472976639127,0.15081967213114755,6.580225760232896,0.0015704894609607058
15216,27,5,22,1,1,0,0.018410753287111007,0.017541934185735974,0.0008688191013750332,0.019532137179196,0.01628501556247221,0.0032471216167237887,0.15081967213114755,6.580811358446014,0.0016049195389801752
15217,20,4,16,0,0,0,0.01840967387321363,0.01754090744473425,0.0008687664284793804,0.019309404815992727,0.01623484932725453,0.0030745554887381954,0.15081967213114755,6.581453861949886,0.0016367783885387203
15218,36,6,30,1,0,1,0.018408054989667452,0.017542640394160744,0.0008654145955067083,0.0193050193050193,0.01622582796176928,0.0030791913432500206,0.15081967213114755,6.582144356380786,0.0016665914653640668
15219,26,6,20,0,0,0,0.01840643639081437,0.017541357150955887,0.0008650792398584815,0.019322573312116387,0.01622763143269979,0.003094941879416599,0.15081967213114755,6.582905460828241,0.0016971524890643135
