t,global_diff
232,2.441406249997012e-10
233,2.44140624999712e-10
234,2.441406249996737e-10
235,2.4414062499965014e-10
236,2.441406249996855e-10
237,2.44140624999645e-10
238,2.4414062499966105e-10
239,2.441406249996998e-10
240,2.441406249996758e-10
241,2.4414062499969626e-10
242,2.4414062499975173e-10
243,2.441406249997632e-10
244,2.4414062499982695e-10
245,2.4414062499984794e-10
246,2.441406249998439e-10
247,2.4414062499982716e-10
248,2.441406249997821e-10
249,2.441406249997404e-10
250,2.4414062499975385e-10
251,2.441406249997396e-10
252,2.4414062499975876e-10
253,2.4414062499973126e-10
254,2.441406249997576e-10
255,2.4414062499972454e-10
256,2.4414062499975075e-10
257,2.441406249997888e-10
258,2.4414062499980746e-10
259,2.4414062499986583e-10
260,2.441406249998736e-10
261,2.44140624999889e-10
262,2.4414062499987457e-10
263,2.441406249998246e-10
264,2.4414062499978683e-10
265,2.4414062499977293e-10
266,2.441406249997566e-10
267,2.4414062499972624e-10
268,2.441406249997405e-10
269,2.4414062499980953e-10
270,2.4414062499978244e-10
271,2.4414062499977226e-10
272,2.4414062499977076e-10
273,2.4414062499981403e-10
274,2.4414062499984174e-10
275,2.441406249997863e-10
276,2.441406249997425e-10
277,2.441406249997707e-10
278,2.44140624999742e-10
279,2.4414062499976626e-10
280,2.4414062499980514e-10
281,2.4414062499984153e-10
282,2.4414062499985973e-10
283,2.441406249998432e-10
284,2.4414062499981217e-10
285,2.441406249997895e-10
286,2.441406249997699e-10
287,2.441406249997693e-10
288,2.441406249997716e-10
289,2.441406249998096e-10
290,2.441406249997852e-10
291,2.441406249997437e-10
292,2.4414062499978725e-10
293,2.44140624999839e-10
294,2.4414062499987576e-10
295,2.4414062499993273e-10
296,2.441406249999293e-10
297,2.441406249999551e-10
298,2.4414062499994607e-10
299,2.441406249999447e-10
300,2.4414062499999756e-10
301,2.441406249999982e-10
302,2.441406249999828e-10
303,2.441406250000111e-10
304,2.441406250000535e-10
305,2.441406250000894e-10
306,2.441406250001086e-10
307,2.441406250000779e-10
308,2.441406250000725e-10
309,2.441406250000662e-10
310,2.4414062500005096e-10
311,2.441406250000475e-10
312,2.441406249999851e-10
313,2.4414062499996256e-10
314,2.441406250000309e-10
315,2.441406250000802e-10
316,2.441406250000289e-10
317,2.44140625000004e-10
318,2.441406250000319e-10
319,2.4414062500005856e-10
320,2.441406250000772e-10
321,2.4414062500013167e-10
322,2.441406250001209e-10
323,2.441406250000598e-10
324,2.441406250000774e-10
325,2.4414062500005463e-10
326,2.441406250001264e-10
327,2.4414062500012975e-10
328,2.4414062500013833e-10
329,2.441406250000936e-10
330,2.441406250000873e-10
331,2.4414062500003576e-10
332,2.441406250000348e-10
333,2.4414062499999156e-10
334,2.4414062499998696e-10
335,2.4414062500001943e-10
336,2.4414062500007997e-10
337,2.4414062500008845e-10
338,2.441406250000174e-10
339,2.4414062500002884e-10
340,2.4414062499999146e-10
341,2.4414062500002765e-10
342,2.4414062499999554e-10
343,2.4414062499985647e-10
344,2.4414062499987736e-10
345,2.44140624999843e-10
346,2.441406249997913e-10
347,2.4414062499981754e-10
348,2.441406249998258e-10
349,2.4414062499986335e-10
350,2.4414062499989933e-10
351,2.4414062499987017e-10
352,2.441406249999255e-10
353,2.441406249999685e-10
354,2.441406249999882e-10
355,2.4414062500003266e-10
356,2.441406250000441e-10
357,2.441406250000556e-10
358,2.441406250000116e-10
359,2.4414062500002206e-10
360,2.441406249999598e-10
361,2.441406249999962e-10
362,2.4414062500005567e-10
363,2.4414062500010437e-10
364,2.4414062500010587e-10
365,2.441406250001028e-10
366,2.4414062500008726e-10
367,2.441406250000907e-10
368,2.441406250000588e-10
369,2.4414062500002884e-10
370,2.441406250000657e-10
371,2.4414062500015586e-10
372,2.4414062500012277e-10
373,2.441406250001519e-10
374,2.4414062500014593e-10
375,2.441406250001736e-10
376,2.4414062500019314e-10
377,2.4414062500019024e-10
378,2.4414062500016217e-10
379,2.441406250001712e-10
380,2.4414062500019055e-10
381,2.441406250001862e-10
382,2.4414062500023455e-10
383,2.441406250002385e-10
384,2.4414062500027885e-10
385,2.4414062500019174e-10
386,2.4414062500023403e-10
387,2.4414062500020027e-10
388,2.441406250002377e-10
389,2.441406250002659e-10
390,2.441406250003308e-10
391,2.441406250003394e-10
392,2.441406250003623e-10
393,2.4414062500031065e-10
394,2.4414062500033515e-10
395,2.4414062500029457e-10
396,2.441406250002913e-10
397,2.4414062500031675e-10
398,2.441406250003463e-10
399,2.441406250004255e-10
400,2.441406250004221e-10
401,2.4414062500039755e-10
402,2.441406250004056e-10
403,2.441406250004435e-10
404,2.44140625000492e-10
405,2.4414062500048084e-10
406,2.4414062500047184e-10
407,2.4414062500050927e-10
408,2.4414062500045354e-10
409,2.4414062500041663e-10
410,2.441406250003915e-10
411,2.4414062500039223e-10
412,2.4414062500035423e-10
413,2.441406250003708e-10
414,2.441406250004079e-10
415,2.441406250004129e-10
416,2.441406250003931e-10
417,2.441406250004627e-10
418,2.441406250004333e-10
419,2.441406250004303e-10
420,2.441406250004365e-10
421,2.4414062500046254e-10
422,2.441406250005316e-10
423,2.4414062500057586e-10
424,2.441406250006166e-10
425,2.4414062500051853e-10
426,2.441406250005222e-10
427,2.4414062500049893e-10
428,2.4414062500047815e-10
429,2.4414062500049397e-10
430,2.441406250004686e-10
431,2.441406250004666e-10
432,2.441406250004615e-10
433,2.4414062500053306e-10
434,2.4414062500059204e-10
435,2.4414062500059297e-10
436,2.4414062500064483e-10
437,2.441406250006581e-10
438,2.441406250006384e-10
439,2.4414062500063046e-10
440,2.441406250006308e-10
441,2.4414062500060693e-10
442,2.4414062500062715e-10
443,2.441406250006482e-10
444,2.44140625000698e-10
445,2.4414062500077004e-10
446,2.441406250008011e-10
447,2.441406250008074e-10
448,2.441406250008106e-10
449,2.441406250008879e-10
450,2.441406250008972e-10
451,2.4414062500081393e-10
452,2.441406250007933e-10
453,2.441406250007994e-10
454,2.44140625000756e-10
455,2.441406250006936e-10
456,2.441406250007255e-10
457,2.441406250006965e-10
458,2.441406250006774e-10
459,2.4414062500068857e-10
460,2.441406250007698e-10
461,2.441406250007592e-10
462,2.4414062500077273e-10
463,2.4414062500080985e-10
464,2.441406250008631e-10
465,2.4414062500088755e-10
466,2.44140625000842e-10
467,2.441406250008551e-10
468,2.441406250009577e-10
469,2.4414062500094634e-10
470,2.4414062500094023e-10
471,2.4414062500096236e-10
472,2.4414062500089846e-10
473,2.4414062500091325e-10
474,2.441406250009041e-10
475,2.441406250009232e-10
476,2.4414062500093703e-10
477,2.44140625001022e-10
478,2.4414062500101933e-10
479,2.4414062500099054e-10
480,2.4414062500096815e-10
481,2.4414062500089577e-10
482,2.4414062500093326e-10
483,2.441406250009439e-10
484,2.441406250009598e-10
485,2.4414062500093744e-10
486,2.441406250008867e-10
487,2.441406250008921e-10
488,2.441406250008626e-10
489,2.4414062500082443e-10
490,2.4414062500081487e-10
491,2.4414062500085607e-10
